,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4288.58956431136,4152.88468381881,4142.5070365305,5089.85369134551,4449.13401255667,4586.16041052532,4426.64740906774,4260.74579840481,4325.66263993337,4487.66243968871,4429.94519576892,4381.5613004032,4381.11525972792,4727.84387538159,4463.84841238612,4571.55699867787,4628.63403824031,4556.77305313713,4517.41973627734,4594.17717558921,4485.88184632738,4568.75755226185,4425.68154744558,4388.19873713782
,2,4290.69682384838,4155.28182207636,4151.96100463609,5091.07330557791,4456.36723856597,4588.13920029822,4428.65742132763,4267.11101309506,4330.19784478543,4494.81066474703,4433.1854763542,4384.52883118865,4385.65257576897,4725.23631235613,4470.49242439355,4566.99539096126,4631.2107716641,4560.87989560803,4516.6645541423,4594.78248864105,4492.56779188303,4556.84471447772,4432.24193780508,4392.16605826155
,3,4291.63175499394,4153.50013777081,4144.27017132307,5095.02362413484,4453.70830021413,4588.76731642972,4426.93475820614,4262.8830346519,4330.45410765586,4499.34512067494,4433.71854665563,4380.82929797782,4392.13384367802,4729.35029905765,4468.84925517464,4563.81190967727,4628.96558120211,4562.44513665509,4518.12928911524,4544.36183601431,4494.14505941735,4546.32122139439,4425.61805789994,4391.70896942617
,4,4293.23150591496,4160.11029402839,4146.43176658487,5093.43701083894,4456.31696668568,4591.79477588769,4429.31127935156,4265.94111848331,4324.68384522952,4496.45565169351,4428.16202765906,4378.53490574149,4398.72087215042,4730.74542969398,4473.83241619938,4560.64744102473,4629.5824897181,4563.77872994691,4518.84413206028,4499.0295276597,4499.28703534156,4539.44162159055,4431.74539178916,4407.16074668358
,5,4293.97019935773,4162.12374518042,4145.88957043325,5101.30057907235,4451.69955889497,4596.04052029598,4426.45747499071,4262.82875899339,4326.18551348222,4494.20412060413,4429.5721441539,4384.34870358466,4411.67770135256,4728.69338980547,4486.7910571257,4563.64653516678,4635.69646415508,4566.54500792141,4522.34967270394,4456.74156961493,4509.49630311973,4536.6273140969,4431.65683716385,4432.75770777836
,6,4293.15110881614,4162.53716130263,4150.58201521409,5096.31031276071,4456.65835480817,4587.65491619937,4427.23550835755,4264.16904946,4325.32371971305,4493.07301617584,4429.53301612198,4384.74592412124,4431.67255829157,4728.62606196295,4501.5725353213,4560.26831234869,4628.59066486184,4561.65925004661,4530.39220752003,4416.09846766638,4521.53499000745,4537.90032139211,4431.77517417904,4506.96281479778
,7,4297.75529962739,4168.11017743085,4147.72365807236,5103.6134655901,4461.01964537365,4590.815761876,4429.75848193499,4254.39633945122,4330.45348241074,4492.16359862007,4425.97621003381,4382.19510421966,4446.93381195688,4734.02050221471,4531.36799536328,4557.04040583185,4628.49935372091,4560.81713920342,4540.64799332871,4388.33780185446,4539.83952481179,4533.03107757671,4436.90511631897,4644.931621661
,8,4294.65823056975,4178.44942044962,4151.06130924479,5108.41892425193,4470.70719658358,4591.04680202714,4428.51417616065,4255.87815407989,4329.11110069096,4497.57157553292,4429.01575687384,4377.73690196729,4475.63719225374,4731.07546030504,4569.73469728239,4561.8978381557,4628.86955466647,4562.29492516547,4559.9541605674,4373.25625665536,4568.55312906683,4529.22931973422,4438.48186856635,4679.13390105026
,9,4287.30810915905,4205.69562387939,4149.11747915198,5124.87504126985,4482.87320784665,4590.30903556824,4424.00847234686,4258.75669470875,4327.6465166544,4494.88920671734,4430.28538358861,4384.80208275945,4553.84964035514,4731.21882201727,4714.60592387473,4554.42143273646,4630.4630825499,4560.58240517167,4602.73023185287,4355.26542329918,4646.50057438085,4531.43737574997,4450.79466733158,4643.43186780086
,10,4298.98993476696,4253.30237952402,4151.06815649529,5156.74092981377,4503.64098513206,4592.18764164804,4426.12275087117,4259.4643981398,4333.56782554905,4497.75772442062,4435.64217353631,4385.27102889313,4646.98165312698,4734.01740146458,4831.07001831918,4558.1704709724,4633.53806256649,4561.48963746098,4722.31214609491,4343.07116197128,4727.64273530244,4531.02462454805,4475.01443399342,4597.06265524113
,11,4296.47321369717,4350.18975633353,4150.66222170067,5194.12629297127,4527.63736323515,4594.48661347909,4424.85905566524,4261.80072565413,4330.41633461887,4502.38854619905,4427.27450772715,4384.55337868031,4621.3417279241,4734.52726929594,4794.24489071667,4559.56337385143,4629.22824272211,4566.45547340799,4841.05104228119,4334.40084868169,4691.71808081924,4524.76626763963,4515.18767979493,4559.04358376327
,12,4294.23897422531,4464.18438760031,4157.326546175,5239.08656715477,4543.47524320385,4587.61661166915,4427.50600097969,4256.68109328912,4331.62664829454,4503.77913176548,4429.40704624794,4383.33983659874,4568.07618261989,4733.34517712449,4726.57058890352,4556.3572524227,4626.89149665433,4571.69905911715,4822.89554790848,4323.25032318193,4648.62606497383,4529.75778312562,4636.49320436958,4519.99557675325
,13,4300.72951550517,4477.86328894168,4166.18423725157,5301.80272177371,4550.41090811004,4594.92165237764,4422.64536090064,4260.70039882375,4337.29542129769,4516.02587417638,4426.81822001473,4390.51216347693,4515.83877742657,4729.14763476871,4671.55687026641,4556.46651201584,4628.95588052504,4569.27412585213,4762.60933741988,4324.20137124931,4609.0230932884,4527.50900088552,4734.79505082495,4490.03731351241
,14,4294.12062954128,4433.75954087562,4179.58169366935,5359.20557128353,4571.01447775904,4596.68705698192,4427.09054389925,4261.32532696762,4340.71476236751,4538.44795854522,4428.96064845657,4394.73425848828,4477.6086523986,4736.46493464422,4622.93233536795,4555.0088347883,4634.34979270794,4579.92837411954,4710.97827552565,4315.8679398232,4571.68472223692,4525.82869631037,4710.10246939283,4463.10739018669
,15,4295.08589956663,4394.95815404578,4204.88150164744,5366.14275216469,4617.80031790837,4600.39785639199,4426.0683130177,4267.63406770088,4347.68884769568,4558.39077555071,4429.19136834007,4411.68013156714,4451.48006061975,4739.57845884416,4586.55882519956,4559.46032416977,4627.33998746092,4589.4814891015,4665.66690309216,4314.58717246596,4546.89383746727,4530.18703418757,4651.14419839818,4443.28205161782
,16,4296.42258944704,4344.17428024259,4233.77292108665,5333.00122936464,4650.24214175079,4596.01956220888,4425.39309875445,4259.32464429632,4368.481633728,4583.23564155338,4434.08012939103,4444.96851050422,4430.73780680727,4742.35051106204,4552.34505240793,4553.38788738329,4634.10541851735,4606.28982804265,4631.29208052138,4313.68751656747,4531.45073258015,4522.07337254449,4602.35039910536,4439.80209342316
,17,4293.57378068767,4315.94298767545,4272.21294170069,5298.51010708284,4634.8235903317,4609.47279834916,4422.56069921862,4258.04756934764,4390.18086081876,4636.94389973836,4434.38846973378,4532.48417480364,4417.55753604183,4752.80495349481,4530.51665767914,4555.12455930714,4629.58371581312,4632.80196047417,4600.17473517842,4312.16711547443,4515.20276781345,4525.98973453325,4563.04307116046,4421.83670410346
