,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4175.75950895461,4043.22294690421,4019.65438447666,4965.00752326169,4386.84498303807,4459.05931330821,4320.25946122336,4156.83563755136,4240.41441700767,4391.54177597454,4326.69901213142,4292.04050615088,4329.14277496578,4668.55781484135,4394.74401489682,4530.35352461267,4741.65753192004,4534.60439484451,4477.82174985817,4275.67919916913,4472.5745041147,4526.98759275238,4414.11128482319,4371.05375131062
,2,4172.30626541325,4037.98043578638,4028.43936391897,4966.70718693768,4370.46334865226,4459.60855406046,4315.71514972253,4152.65414121207,4233.51012023995,4389.7864253241,4324.9776707356,4288.82231997123,4325.85617233804,4662.51941312008,4397.60156219245,4523.09612194639,4706.28673735964,4528.91910766334,4478.55450062851,4278.08936269075,4468.29629710162,4539.08235122127,4416.97667645889,4365.0949413655
,3,4170.91578180522,4035.83870472667,4021.53638501067,4967.09944973591,4359.87716734003,4458.21952940483,4311.69200289364,4148.87654584159,4236.65959383954,4395.62623779114,4324.69354546621,4291.78606722742,4323.76509387157,4665.37677293151,4395.92776407633,4515.94714545546,4676.06460653768,4533.38849371496,4479.8847919466,4276.83962053503,4471.33869605735,4555.97072726059,4414.41195644033,4359.41733303646
,4,4169.66928177246,4039.76787158881,4024.49343929785,4968.48932905306,4356.30116415153,4457.00329664488,4313.53310458167,4150.22823430952,4239.79824895638,4393.75040913597,4322.06453564772,4288.08326057331,4324.2177223636,4665.74215265896,4399.99006590887,4509.58555953268,4650.38431274354,4528.03225346129,4479.05898097932,4279.85677433806,4477.01862299431,4616.50337744642,4413.66694179518,4363.04653849937
,5,4169.60434576512,4040.24417155951,4024.75092127547,4983.31714890488,4353.94632012154,4456.14099411638,4312.59166571075,4149.82065864964,4237.17343837199,4388.89346316551,4326.24491161028,4290.73142181483,4325.45661191433,4665.43270665827,4400.05120284379,4503.47930335156,4642.58223040482,4531.84423861062,4477.76557411908,4284.88466701611,4471.02895979389,4708.24787501633,4415.0247305473,4365.65834802663
,6,4170.14368739793,4043.52955392708,4023.94348609245,4990.2039262437,4346.53350172751,4457.03698919538,4309.01855655312,4146.31036790916,4234.54335566649,4398.2399318758,4322.6705922104,4287.12029276155,4326.84260538287,4663.56583950818,4396.11626904328,4503.72943431545,4633.63573408997,4529.9336414294,4481.9898522732,4295.08247954128,4472.43442508743,4701.89274613508,4414.33422774878,4367.21754055479
,7,4172.84323456226,4041.16861250051,4025.39616793686,4994.25988871851,4348.04750081182,4459.87094108705,4307.70112188692,4147.56818640097,4234.64554662156,4395.08379809805,4329.51090326939,4289.79076506983,4326.29919632799,4664.89837625122,4394.80745813293,4495.07139601436,4622.27999154038,4533.92626064957,4479.87357667246,4325.50008812822,4470.16809684683,4668.76272001726,4414.39632522311,4367.0743837591
,8,4173.29279710842,4038.1178735539,4024.60711537423,5000.54775271669,4342.96193164901,4460.70358858098,4307.21005219401,4148.60507718585,4238.87368092887,4394.9708947303,4325.36558484279,4291.45994363583,4328.52757946368,4666.35364814528,4394.26098231158,4497.23962429192,4621.62175479074,4531.92933594168,4481.50053940573,4411.73190203835,4471.8461023969,4628.36434783929,4417.65672044463,4367.86514689552
,9,4171.2249214189,4042.93392860708,4023.94463003012,5001.587646496,4345.11957207847,4460.90978606226,4305.19459094952,4145.9610797174,4236.10292967255,4393.76298657952,4324.57021227951,4287.50295573197,4329.38278458025,4664.56002196672,4400.69145173817,4496.2665550893,4618.29773024724,4531.30172785826,4479.86679254139,4445.08054068904,4472.10544344969,4600.1844734462,4410.9332218198,4370.11362807138
,10,4174.16575874393,4041.69816704022,4023.34660954682,5003.97549959672,4347.57488475919,4458.92950313538,4308.08916045344,4149.67214111848,4240.41152702539,4391.61287229214,4322.89715898206,4290.62480613698,4325.94590431736,4666.5409494711,4399.30224058707,4490.68275703748,4609.84351493039,4528.76762004955,4484.68138874471,4420.65959959569,4470.73042651483,4578.35099742396,4414.94832922302,4378.00405322278
