,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,5034.1242734282,4931.02884366901,4867.33014187851,5149.31121608436,5170.06594236849,5327.72583250006,5019.50229116518,4943.00849952369,4863.32805842468,4804.92276051148,5127.65089761477,4923.16320905731,5084.94731561881,5353.01743356903,5068.82393060731,5140.40046175526,4937.79723205534,5321.5636429284,5066.74875440372,4894.63640466718,5066.52160322162,5027.0714221942,4825.54041833568,4964.56059603319
,2,5050.71963678978,4923.31268019589,4862.29770185123,5131.38072249849,5176.83067371293,5382.81293106212,5012.5874184172,4947.39646018884,4870.30813219877,4801.88566103943,5127.06108385798,4902.34540001239,5078.53866950573,5358.07956726787,5073.8931372885,5139.98184214173,5005.74697007041,5317.23640905842,5073.66194534125,4890.65327607353,5062.41185082679,5025.58012471191,4905.11674681104,4894.09433555423
,3,5030.40564447907,4927.95895983315,4863.04178754973,5156.19926975378,5178.57465659154,5428.70701374432,5013.92407882303,4942.19013446762,4866.57482413444,4814.52356491609,5123.22222370621,4869.50196118757,5073.70141742855,5359.89839154364,5064.35775375287,5136.58390351007,5082.91267769174,5322.05184307846,5070.52776082421,4888.73214752682,5062.38615988584,5022.74672403031,4999.49313491799,4839.66297919565
,4,5035.50404984664,4930.40171306232,4867.44342267476,5189.22025631332,5185.68442683444,5438.44964267899,5006.17309106889,4948.6090150202,4868.88550560081,4851.83908219523,5132.0957316691,4875.14746997905,5070.31267762986,5360.73225441257,5065.08568335064,5137.61045993384,5105.24720915642,5327.4742111781,5074.8274864876,4900.233717811,5060.20878040619,5023.40697811305,5018.15433843558,4895.9707315175
,5,5045.84958797203,4933.79370178842,4867.67246357008,5204.98964480455,5185.53014691479,5446.45763570553,5003.9769945439,4947.34177015474,4867.24299941691,4884.69333121866,5134.06247809032,4917.33653814952,5058.74181443819,5363.01567162165,5069.14502931924,5135.55309736983,5110.75948219502,5329.93011429026,5074.59868309594,4901.09797919292,5062.53340617213,5027.92643241341,5030.4999338258,5000.64344724988
,6,5042.66252724381,4933.8108784435,4860.63448538989,5214.05239477203,5189.58621053029,5450.33314248183,4995.47271408896,4953.894909981,4874.02403906829,4898.94274360589,5139.90081679969,4954.56814478264,5050.48881050853,5364.09603540057,5073.0550645715,5144.69181848295,5113.41808936185,5329.30531697272,5079.35522568755,4904.05182889622,5061.94956808784,5026.9544785637,5029.63245296212,5026.165583139
,7,5035.76449235439,4930.18775889805,4873.20727929444,5213.85911179682,5192.59450686787,5448.62330543329,4986.78289069848,4945.65998253792,4868.13928239882,4901.14753946548,5130.3121774709,4962.84396480008,5042.64973261355,5359.0797585473,5066.3225095308,5139.73030026227,5115.7351056332,5319.49987992886,5076.30803717104,4897.01015427988,5061.66629154342,5025.28292497148,5029.92740568062,5035.60238435625
,8,5034.87291396244,4937.15147391201,4868.9053115281,5220.75946440398,5183.09885472029,5452.36904371412,4977.70881456502,4956.09094314625,4862.7190963577,4904.86178782581,5132.95791121959,4962.32137661139,5028.01141004842,5357.21320573048,5070.26879823091,5145.68343669797,5115.60470349011,5325.09672150373,5074.76047545004,4905.20254949914,5065.25568395342,5022.26626776612,5026.33521545014,5035.73844343747
,9,5033.71396021018,4934.32303456187,4869.25748524378,5217.35813590103,5191.20564353949,5452.56228034311,4957.81294090159,4958.20248017096,4861.19369045844,4905.54985471065,5129.31981574155,4971.13092645683,5005.13861688268,5357.24012647774,5067.27660344614,5139.76537548624,5119.59723139688,5323.83115241808,5078.94858185251,4899.38804664478,5067.03943608676,5025.1361511739,5029.50190501458,5038.87074701644
,10,5036.16657748262,4937.90211406094,4876.02885653115,5222.67962248424,5190.06275198495,5455.97669612998,4948.39435858585,4951.81450200402,4865.38365269513,4906.19082694494,5129.92613365158,4970.89826258526,4998.08315112449,5360.42529943391,5068.7990869748,5141.17137180324,5113.60594471866,5330.18972966487,5080.64265345972,4902.52836193167,5054.51019097549,5023.08384237592,5033.43848136696,5036.79516426345
,11,5044.82782847564,4933.22748040285,4877.87646531595,5223.40762340752,5192.90480889769,5447.89104861428,4966.68270843963,4953.66922167039,4859.97557945003,4909.69535021007,5127.01162870875,4967.71554184184,4983.95792576359,5357.68048040204,5063.52241856604,5141.61830648795,5129.27691140616,5330.79054481029,5079.77172049913,4903.16896419069,5061.25939707222,5021.46907518276,5034.22414587253,5033.41535327119
,12,5043.64868542163,4929.43631605285,4864.57351630734,5225.47792114859,5185.26317601179,5447.0109691241,4997.18989352702,4948.08548888684,4866.03845544894,4911.01858534205,5130.73076371974,4970.53524835275,4985.78641277683,5363.62124614189,5065.22262172803,5132.77384576241,5120.41447750287,5334.09684603758,5085.74965364773,4898.06367757555,5059.04673600458,5019.24728562862,5039.32835642332,5039.52566359461
,13,5035.23657646827,4935.46754093579,4877.90470447441,5227.45559352267,5194.38796327362,5454.57570275487,5010.98642993562,4948.8987558432,4862.94769862247,4909.20694018523,5132.18653552787,4974.87353645105,5035.6470189282,5364.63887294345,5070.69021937989,5139.39473721075,5120.11018826477,5334.71023138636,5082.61275200553,4899.48021500267,5059.17305083492,5016.99517809277,5032.43415870072,5038.40860684702
,14,5041.85605328621,4934.48863599859,4872.12744388271,5222.28473988804,5197.54438619257,5458.79799471052,5023.21578233793,4951.79832691426,4863.40921551886,4905.01297724584,5131.40460896318,4966.56602483141,5077.99492839177,5366.34888429221,5071.19056301884,5137.00225908478,5123.34185084904,5328.88734431433,5084.31127533183,4901.07028512935,5060.92026754587,5012.3052058586,5038.26618289927,5039.70936833973
,15,5041.96195433761,4932.51008855554,4868.43202569513,5227.91594697229,5191.14738348307,5453.93609738093,5025.03810283592,4959.50944611999,4863.86022719885,4913.41743142081,5127.94629845537,4966.18697102888,5090.12405316489,5363.54539403305,5063.87636245838,5127.90260845738,5132.59697955467,5330.11022640453,5093.13929656873,4900.34605254109,5054.6451517868,5013.08703533913,5031.82665883947,5045.5857491727
,16,5041.6614450954,4934.48992238674,4866.65038012679,5225.44643986341,5194.14532329209,5453.19175782438,5029.77388296715,4960.01486672832,4864.07255622243,4904.4280456517,5130.71225106608,4973.37402133261,5105.75520066791,5369.16787325325,5065.8337317692,5128.58346037472,5128.38700673611,5325.78205764639,5081.23548039931,4896.03872356714,5054.09681756505,5006.94472153382,5038.11083767478,5042.30278213697
,17,5035.61679800231,4929.55219448676,4864.43295250151,5224.79842923237,5191.07053122422,5462.49351738691,5027.55293355759,4948.5861403522,4864.2602578825,4908.28806382945,5129.71272830838,4975.5590901582,5111.69934354143,5365.52078811179,5066.30699118909,5116.19296299855,5127.76532718901,5324.81057178095,5085.75698277013,4895.50723366294,5059.09933369877,5005.66039311956,5034.87631688242,5042.2967019746
,18,5040.64489947194,4934.70772394924,4870.21417027934,5226.72051557488,5190.64688761951,5457.4600314126,5029.77268460385,4952.50976131852,4862.81007531224,4917.70495599708,5124.12794097476,4977.4387529858,5110.00462134319,5366.91724259671,5060.96480250667,5115.76779566863,5127.8641194265,5330.41337524606,5079.08530521618,4895.84382378976,5057.16763483661,4993.61403187456,5038.85212216647,5042.4130414445
,19,5037.96571050887,4936.49687289953,4869.3396611823,5227.74057130414,5190.89486456109,5453.941541356,5034.44431323056,4957.13086097476,4868.3912278832,4911.49520299218,5127.63234159259,4968.15855145513,5109.41906546782,5372.90703330177,5060.77304409364,5096.03347115322,5123.16694648619,5329.4326805683,5080.15560314453,4898.61748618465,5054.54247403255,4986.98958039972,5044.06944034201,5044.90803623067
,20,5035.58753211327,4934.88120430004,4869.5834148443,5227.88074045881,5191.24818117644,5458.30131406711,5030.69880997086,4948.63456593287,4870.54323232321,4910.28935007234,5120.41957330291,4972.2118424281,5113.03162111375,5367.697278145,5065.64716550132,5081.15708048236,5121.63604820325,5331.08940862513,5086.62410614514,4902.06053530628,5046.38823682687,4972.94119672819,5035.6454767966,5045.54491436902
,21,5042.18011147691,4925.65708576904,4870.98851601768,5226.93996458564,5187.18211890775,5448.51528856866,5034.3723695202,4957.67753248811,4867.61375552212,4907.59380345237,5121.16804585069,4971.64917374196,5110.52969112413,5364.90883956045,5067.41864457824,5046.46933695532,5132.12754517619,5324.91596969108,5086.43686598914,4893.70414141567,5047.69679934964,4955.97186611899,5036.25873452392,5047.80095164154
,22,5035.1896184966,4934.09079143831,4863.08771897406,5227.72313787469,5195.52668402227,5450.03622241419,5034.01423043844,4952.43722727425,4867.56466237483,4913.07203684251,5129.27761245978,4973.77895824824,5108.07832092979,5371.52241929709,5063.39721237206,5000.48665298146,5116.86790506472,5333.67985107777,5080.45985733857,4893.1137457474,5050.41341954563,4928.41339218225,5038.67136297049,5047.88485809127
,23,5036.46633898498,4928.84782599716,4868.81049384639,5227.60621237916,5195.34936977577,5457.25773429148,5036.17793074838,4961.21936327329,4869.58305352982,4911.38969891784,5125.22990063007,4972.93653379676,5109.75107156573,5362.27537959725,5057.71451698075,4963.81019623945,5123.78533480634,5318.62529813077,5080.30850791434,4891.95172007846,5047.15497451331,4883.28608854754,5031.24142913067,5045.28015898264
,24,5042.08425629718,4934.26949673895,4867.29692745026,5232.97376131718,5191.23784720098,5465.68791591631,5037.81677010353,4956.20253086699,4867.24034134993,4912.86274514962,5132.00122338278,4972.40453178547,5113.90488194484,5369.60116423623,5057.05656318898,5014.6336310058,5126.21486767852,5322.90018462423,5082.12749162755,4889.12975591039,5040.65321668871,4841.45889549188,5033.34211216271,5052.1018101247
,25,5038.43877025498,4926.56333736532,4864.37884324062,5226.53854697973,5185.97498617264,5456.51468216158,5036.70551644842,4952.81246828235,4866.07548812379,4910.3537974594,5127.26076502924,4970.6719019786,5116.63651532161,5368.20038440192,5059.99441161128,5103.30217036566,5124.04239427639,5322.56575358395,5079.94678043608,4888.01967624016,5037.10933853341,4817.83758672598,5036.15528681197,5051.29166369226
,26,5037.55256761115,4930.94399128827,4874.66756960739,5226.41761018499,5191.67916216283,5451.13661179834,5036.41109238888,4953.75000299876,4863.44084631302,4912.39587161783,5125.05418445409,4972.96287659854,5112.93015724102,5362.26220521931,5052.90722484926,5123.31423646153,5123.39255497656,5318.48226933924,5082.55164318316,4886.82666721146,5035.60999325537,4886.37786879012,5034.59043536588,5047.81914955069
,27,5037.32782286302,4930.80742633472,4868.21300744941,5221.35401826327,5186.73659733254,5464.48171411767,5037.10173835397,4951.22401450102,4866.49299015619,4903.64709530363,5127.2468729267,4972.19686747559,5118.69545825884,5367.11214373613,5050.98980567841,5129.72998421151,5119.67388544226,5329.25730633329,5082.03135167426,4883.36622871348,5029.72456426502,4980.8985146299,5036.78858173144,5047.11211522722
,28,5050.73077404063,4932.75013232967,4867.36202930075,5222.29153647826,5194.37095130224,5453.8802276577,5040.3671717761,4956.68573743581,4860.48696183802,4909.74452458155,5131.14611659427,4972.88508892499,5115.25102232993,5362.15489640295,5045.42057948964,5128.68787088164,5120.65671993559,5322.57895068988,5078.40822586617,4872.0929075736,5035.80701160082,5003.31836190913,5038.66610177382,5045.14744503392
,29,5040.72368263782,4931.33874882637,4867.75388854107,5224.22950525402,5188.24144209588,5460.9485045301,5038.6161059524,4951.31141349608,4863.09884743394,4908.50488836043,5130.38607642766,4977.23556963968,5106.4919039213,5363.16332565533,5036.69463827426,5132.72801316018,5119.43923826068,5327.73464993304,5074.52373625426,4863.8639585784,5021.36865019762,5015.42774186065,5038.84316024682,5046.71319785789
