,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,3961.83435252185,3910.27046083015,3944.45009314375,4101.89851132196,4151.92863899894,4359.81520481162,4168.2269989134,4117.24567554137,4143.52120483053,4340.48263214287,4350.55106124117,4296.65986676621,4293.29545199352,4584.92543663982,4383.19782466392,4496.09896181891,4397.34975807647,4496.52353580856,4442.57812754534,4240.88462778119,4301.95688491797,4374.53677123499,4344.51665685174,4315.54107310015
,2,4105.04081372536,4071.71987848209,4105.80253329699,4301.81385920709,4313.44020560577,4550.6965112858,4353.43493834046,4288.4985064312,4294.86731797745,4515.35957275689,4542.1956155399,4489.98602378339,4432.01675990288,4772.85287851547,4566.26022413108,4702.92838322661,4574.17234526876,4674.86222389642,4634.46405524463,4422.25897117897,4460.0013846648,4568.09408808422,4516.44029244616,4515.51318632576
,3,4208.1913932345,4197.71499863718,4244.67698567719,4464.02728778642,4425.25480112583,4695.06548870986,4509.74326103821,4448.60549902929,4404.14772639591,4638.41706851391,4683.35727080202,4646.65485262209,4526.08559872402,4916.3687993491,4707.66400311407,4873.48292398239,4686.40417306662,4804.15766997129,4788.7189535141,4570.19703751609,4573.50877579839,4685.36288572939,4653.90673335403,4681.55619031056
,4,4289.55164423027,4311.47403204945,4351.20424811693,4613.07234638697,4518.63028563007,4799.68256728343,4630.35244194537,4584.02619566213,4492.16816003969,4735.69140275125,4802.77710306852,4774.01883343012,4613.95681337943,5028.33922635567,4820.14624463799,5018.98992662078,4771.78859778875,4899.33632641177,4905.9401589905,4700.77317098896,4672.12986766154,4772.2045775078,4765.15560616866,4812.98179976645
,5,4339.04551095709,4391.73485959837,4403.32176175687,4703.202440276,4579.43133570417,4862.75891197153,4698.06104572285,4654.43369401743,4547.47193973896,4790.47637009661,4869.25886734606,4840.92894682966,4654.2853699074,5089.16866322239,4878.17773621764,5101.33270718829,4816.34920639541,4949.46690561385,4974.3494454593,4762.10006555201,4729.47334163943,4811.49023733345,4824.09861005272,4887.67903689567
,6,4349.68844308976,4411.74554422547,4412.74363324194,4729.94469341113,4602.78178933369,4874.0268737666,4709.72711013277,4652.03384573841,4556.77078506951,4803.36167263235,4872.53523312609,4847.43942745901,4656.76947204649,5090.12973029138,4878.81702954203,5106.80326544219,4826.13793833914,4955.30196328299,4973.89448577237,4761.86469332415,4742.32458845037,4810.92730411387,4819.82192708901,4896.59785815167
,7,4339.45575953752,4403.73074099897,4381.46502997258,4716.41532686392,4594.72949916647,4842.94973438305,4687.6992296566,4619.93792124733,4545.27232850682,4776.59448002214,4844.46010697681,4814.60851117821,4639.06675561379,5057.39307786423,4849.78037379657,5070.77905712853,4807.10016993256,4919.50439174955,4942.64119110116,4727.94676672799,4738.03550398479,4778.32352349997,4790.0574483577,4864.52516068894
,8,4321.92394772408,4387.04312346461,4336.91143188306,4686.51327079434,4576.5994144587,4801.78150459542,4652.25522325431,4567.77378626473,4528.50732449642,4747.12311497268,4803.24860365437,4763.61326584012,4604.41193219679,5009.26842347561,4804.90958536921,5016.03606518949,4780.96865017636,4873.10108154955,4897.70468481898,4681.6864787189,4713.99426688912,4738.18581075102,4748.70118337572,4817.68752181106
,9,4297.87986637068,4350.8134195418,4294.17422210521,4656.92649042571,4548.98525882143,4759.00540169056,4605.96396602206,4517.19887698848,4503.97549086974,4713.75846914975,4748.84001467313,4717.40908284788,4565.31626208262,4963.25348367727,4754.30767003179,4956.72218297452,4755.09954089763,4828.54509922774,4843.44763268836,4626.39740371044,4694.1116610292,4699.52189989348,4702.61596976076,4765.83131557665
,10,4272.27320343555,4331.31437572979,4260.98576766565,4621.9340229016,4526.635591252,4719.46048464073,4559.01131005355,4472.22714269144,4490.06548725453,4677.05595738391,4705.92758350065,4664.08700252557,4537.8162014906,4921.47529559937,4710.68931895796,4901.65586814588,4729.99594166803,4788.54403132486,4804.10238369564,4580.26149525206,4669.14979615809,4669.30959269909,4671.02133629762,4719.23195450592
