,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,11,5044.71318413077,4905.00976845134,4887.82136716917,5204.87936327139,5118.62261991439,5445.65828450837,5034.32962013691,5029.19912478928,4995.23587133781,5042.82912300615,5339.6448493842,5100.71119201455,5222.52356381413,5506.18981531035,5252.69536418715,5317.13726781492,5354.46726231457,5521.48606838441,5298.54401288797,5063.38157391613,5222.27072478455,5135.19660311676,5189.27379421318,5193.85630314111
,12,5051.69879983241,4923.65006984836,4896.97308271563,5223.59440580103,5130.88007149297,5453.73244132437,5047.2765477077,5036.31931538726,5001.29564240143,5050.57970979402,5344.47068856495,5107.26877972023,5230.48762613301,5500.44336617935,5249.98909258986,5319.99469466267,5359.80645078578,5521.45010298234,5299.3458115913,5062.87021568011,5241.12346888893,5146.60529474478,5198.00214234588,5202.45388768097
,13,5066.39305305471,4939.63309620844,4911.25690270893,5232.71054201318,5141.84698038082,5457.0288791977,5051.8259185736,5046.25529595066,4996.75619409861,5044.68033439539,5341.67387787177,5110.54214709559,5221.78182865411,5501.26645555568,5246.31248251907,5316.08522055187,5353.00402273793,5516.2393979423,5288.75266733227,5064.60073633758,5243.46574458406,5152.94988073705,5210.70489651862,5202.00937356951
,14,5063.26067349507,4942.56095966819,4919.98671767361,5237.42380783474,5138.96957522907,5459.59999977272,5061.92205716891,5053.92795245383,4998.74216981375,5045.60277181032,5340.48932149866,5117.75007769813,5220.21454611337,5502.76695847101,5249.83063359469,5313.9229861447,5350.63114899961,5508.84109529517,5294.44681090758,5065.01486018728,5241.9152556068,5160.91242773581,5200.7207046621,5209.17584033532
,15,5068.76814643626,4950.17255337309,4926.73107897819,5234.38041009161,5139.8972722239,5459.39239879513,5063.35114999312,5057.91278701515,5011.23303608665,5051.80086641402,5337.48652840336,5122.61982910268,5212.70765908857,5499.57367922842,5239.75012484631,5312.58843132745,5339.02005872357,5516.79071736937,5296.24515019607,5062.21750170155,5245.48070576455,5158.59995230693,5211.17275567819,5207.38558458998
,16,5069.13135105543,4957.42652753427,4935.67079111275,5238.05062106717,5153.84181055043,5457.05416920967,5060.73740221836,5064.6303094007,4992.66070521785,5041.38783185603,5335.0306750938,5112.7093625644,5205.67241390414,5496.16585637346,5247.25837975754,5310.14403281791,5335.17796192321,5504.9411459416,5289.07353799844,5061.41589911022,5238.67070413008,5171.02059778516,5207.91863356918,5202.07146504836
,17,5067.2414456606,4964.06454495163,4924.34804556149,5236.15283984965,5145.97989308102,5457.33650065482,5064.35971426838,5056.50458186019,4999.53202342817,5036.0380706035,5335.9683542663,5109.64226185769,5211.86022041235,5492.95126005369,5240.1041519472,5309.31920928132,5328.80745190843,5499.68324123897,5291.4156819823,5056.76203950051,5232.26722358853,5171.88614485875,5197.70345413829,5199.80296790524
,18,5055.47674644873,4966.70242687817,4930.76020829311,5236.00544759383,5142.2543283541,5459.60158796015,5061.22351437353,5057.68650983227,4993.21266004467,5037.72749062103,5332.5350895704,5104.92927946605,5202.04677109398,5495.22159111117,5232.7193446248,5302.87103298706,5324.10647865451,5498.81640033511,5284.98351708174,5053.97068951817,5226.87210038292,5169.96220041112,5199.25537206101,5200.05343344353
,19,5054.00287179145,4981.71371308045,4917.74021549493,5234.86109742826,5139.72237237061,5462.09015989603,5057.38123360068,5044.46298441813,4991.42578248387,5028.49855294015,5331.15047136909,5102.41621820676,5200.95885434968,5492.86696131735,5228.98426354985,5301.49600678282,5321.02701123055,5487.71148610417,5283.92451656003,5058.33514029637,5216.40858581704,5173.17608921255,5199.04094187247,5200.76123373054
,20,5049.06820064576,4978.91002455413,4924.29467702647,5222.79204746022,5144.95002730928,5452.53683270021,5051.09292075465,5048.72102240092,4982.40899286459,5035.78755644365,5321.21048269841,5094.02413090106,5192.84434292795,5482.51958514848,5227.12005548315,5304.98415996779,5312.25941428036,5486.633196482,5272.75485477109,5053.76380738104,5223.08587935649,5170.98485472235,5192.87758207614,5195.75716883904
