,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4959.95611892327,4869.04175069059,4791.60772515885,5104.68798379427,5106.35439028076,5361.35091791539,4899.0111333984,4657.21730467608,4839.73462065201,4879.67882616929,5098.17643752621,4709.19615068852,5083.59054008825,5326.35914579159,5051.05694599484,5128.49322152799,5110.26003186054,5309.85572710046,5075.76251574265,4902.44055783861,5034.61146642825,5007.85094883804,5035.23598630307,4996.84168497751
,2,4968.44942508895,4873.28702004016,4795.27834240086,5091.86902120314,5112.64288093039,5365.82790844854,4862.1140690242,4780.7454926442,4843.50557292862,4880.85788409464,5100.98004750403,4621.14274137128,5086.71157488209,5327.48609817625,5043.19664979526,5129.78722038008,5116.48051748452,5313.60776136923,5078.64311161841,4897.54611169813,5039.78093263628,5009.56415887275,5039.47414908934,4940.82774661651
,3,4974.17529959062,4874.38774289387,4800.14375767443,5047.9693338779,5110.33371308819,5359.12525469811,4799.45958925906,4850.4579269619,4846.62757252852,4874.73682243773,5093.31834639305,4583.04773146063,5090.31126394577,5331.1082735114,5049.56466858098,5132.51501498081,5122.63897086769,5314.97473925647,5077.43202422419,4901.69331096101,5032.74743827699,5007.48708185505,5046.03457865943,4857.94446291507
,4,4973.84392640257,4869.56824886214,4792.07873962416,4968.29855027031,5107.97179933935,5362.81592356959,4695.38913395982,4860.65334143263,4843.58090580326,4879.78218161762,5090.06017642874,4626.34636063536,5083.99830088274,5326.65065444724,5043.19782022439,5120.4419855969,5117.74228106395,5318.86568403115,5084.23884805285,4898.94737056466,5025.47495391645,4995.84686764325,5038.57547648604,4773.58926311411
,5,4975.10224011711,4872.68233153381,4787.5890096158,4869.67207596604,5111.61225484361,5362.65187775667,4614.86823043821,4867.45951279276,4836.96410887059,4869.89245119139,5089.90366841947,4824.7115970765,5084.39525196579,5325.42476687642,5043.26731691882,5121.68330302956,5117.58950698721,5319.75706985648,5079.68455701773,4895.87339981603,5014.70013186371,4991.52636588045,5042.4576248184,4784.51451998825
,6,4961.50126461469,4867.88094693304,4795.00899780083,4789.85799709635,5115.95742579457,5358.30290177766,4583.84359693516,4872.85000593698,4848.23156525642,4873.61621509208,5100.1844227614,4902.86784305003,5087.2215532054,5337.22870057908,5045.01101622936,5121.35251791821,5109.79471938781,5311.11469129804,5083.69454941005,4902.17651945705,4995.95274857097,4978.13816418303,5044.39710216446,4941.74379835603
,7,4958.83050697108,4873.37456485987,4798.82238828853,4757.18839300276,5110.22035504749,5358.99333413341,4652.01189269425,4878.5782020714,4840.849042903,4877.85611646279,5096.23350827636,4909.13840627899,5085.24821215419,5331.90912030905,5043.89427378547,5122.60478442482,5115.64543108891,5310.3985468142,5089.55467170715,4901.67270410063,4973.51121475415,4959.04261383868,5048.69136007395,5022.97059850907
,8,4968.70944801197,4872.08043535815,4796.20561638807,4820.12653988649,5115.48458469496,5361.31460290912,4844.05106651043,4882.42068009887,4837.09134346707,4879.12817418394,5092.29462615371,4914.32739628525,5084.12647369951,5331.63393785563,5043.98425191627,5115.29135293542,5118.25158942464,5313.92652717733,5083.85064066393,4901.5649304905,4945.74615072648,4935.189372382,5049.11828231479,5040.49479804339
,9,4966.51909770956,4871.10971377145,4794.24327871334,5022.80157447039,5114.97184802797,5356.15393206777,4922.44815549217,4880.00914035966,4841.36945317342,4874.10431784398,5085.00091436841,4909.78506675608,5086.4780940103,5331.66074062701,5036.28522065889,5115.59337338168,5111.59743991725,5315.4277903092,5075.3687483532,4899.15654755298,4903.42775719263,4900.1770584471,5045.78115810506,5045.08718428719
,10,4964.68380414274,4871.71661073271,4797.93556001805,5107.96874245156,5114.48040049962,5360.5450457528,4941.15872416022,4882.7526419968,4834.56192005889,4869.14347400915,5090.45636862156,4919.07986362622,5081.86479569255,5326.82066403092,5036.3568439757,5113.78425712874,5117.72134875417,5306.65487955685,5077.9896561684,4897.32218930219,4869.94226527336,4848.66436072299,5047.51074290915,5044.58650116472
