,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4073.30213966669,4074.22903500278,4024.48821090024,4365.78457311143,4339.57852259627,4447.04748948135,4271.18994621855,4164.90416821885,4278.78047413118,4434.75422301531,4398.40704474389,4323.1235724283,4304.81352705097,4625.77635384631,4414.92478056256,4520.55727749002,4501.05489208453,4505.03976902861,4490.97519908266,4267.94555433921,4451.94076213085,4437.23783491415,4393.46946792149,4377.66185610398
,2,4068.92620120174,4068.4537216822,4014.67931509847,4365.60562862219,4336.17465981445,4443.87277971926,4264.55969688533,4159.24822878253,4283.63212847851,4436.95511643713,4394.95802974493,4319.0023812698,4295.39984893956,4610.43008612842,4407.26574967127,4513.12566288592,4493.60906616324,4488.7410544406,4488.08703220497,4259.37346838142,4456.4048193944,4437.31880850091,4388.5169979342,4368.1053323906
,3,4065.82144950005,4055.40609972006,4015.60572643588,4361.14361734478,4329.89320827184,4442.56691064304,4260.08059739751,4154.88307830116,4279.14447112621,4428.56049114682,4388.98105898658,4313.34302895941,4292.91764500836,4613.10758876083,4412.34511585644,4503.41534656605,4490.67910897272,4489.37350106417,4480.43956921929,4256.62144750482,4443.43816313239,4429.77980673109,4383.10818255467,4360.89676342762
,4,4064.13176490978,4052.62704803468,4000.43647808001,4363.81773288905,4331.00195916596,4428.66011498424,4250.91292613318,4144.23205282217,4276.93289140446,4425.10771575225,4381.89308747321,4312.4158159758,4295.65963508982,4608.15552033571,4404.89088407439,4503.91799648321,4492.84276869895,4482.10249539646,4475.88440300295,4252.19097779441,4441.91515850069,4425.77590615891,4380.04297866613,4361.04211718393
,5,4058.13661510421,4046.64009341419,3999.71188620429,4367.42648691986,4324.98674574953,4438.32499790979,4250.49508253489,4143.4635868307,4275.25986565682,4423.14142293495,4379.16712427785,4304.4870374664,4292.11944344463,4608.17417205792,4394.243567987,4494.74619708916,4477.9226575927,4482.54846783493,4469.28961926207,4256.47734015227,4431.99927296988,4426.79788197389,4379.21990092259,4359.90653731699
,6,4053.40803244238,4051.85041798091,4000.03319670923,4372.11854973468,4328.2503384198,4437.85106200393,4253.62404208475,4142.30230929558,4271.58940293942,4427.7762398632,4382.01353018106,4304.42350846976,4290.97244128725,4605.08275842301,4399.87080080318,4494.95470173891,4475.04195037007,4473.94986721273,4468.006229064,4255.74184125786,4433.45950248781,4426.39790045853,4380.45173663252,4358.48322044808
,7,4059.95107654678,4048.72134567769,4002.17130204351,4374.69019859672,4331.2832527741,4439.38553070369,4253.5086774407,4146.52284399608,4271.2149014328,4429.16714004635,4380.81895895743,4306.54611060738,4296.49423641945,4611.53777663508,4382.91459076932,4502.23689276152,4480.12729573129,4475.50600786773,4469.30038471154,4255.89838771987,4434.25625712856,4425.15206537209,4377.11731057052,4360.13841487681
,8,4060.49294007999,4052.20320034566,4006.36651526743,4380.90333625399,4335.11503656856,4432.04647473751,4252.30595939809,4147.81477972347,4262.08429685574,4426.73333506687,4367.36080353055,4297.7799003854,4298.04484652223,4593.77397517789,4385.16142498721,4498.79985497102,4485.03482609965,4475.4338300652,4470.84620704967,4244.40196533062,4431.0361252732,4418.69901038862,4386.60632792887,4359.81855754783
,9,4062.69793401259,4047.95694826151,4002.14201942226,4385.10310347772,4333.40015498662,4429.13095681518,4254.24307209455,4136.56867737607,4262.46306633524,4420.90668289224,4368.41969949496,4295.39771995594,4284.18392166066,4595.38576454087,4385.9861293117,4495.06475781541,4484.89428207454,4478.73992743495,4469.93541720899,4246.47156482614,4431.23681833701,4421.51664922066,4378.81451754402,4349.32397367044
,10,4062.75772327656,4048.55469754375,4007.98116609049,4376.14316428796,4335.81838571838,4429.55411169289,4254.68932410714,4136.79039766801,4260.13810095681,4422.03520403215,4365.40143732902,4295.82761137197,4283.64795005403,4587.70951771507,4388.23196914621,4498.18014105247,4483.13726318975,4470.92982883082,4468.52427990632,4250.59363118851,4435.91246921964,4420.05026052985,4376.95634877886,4346.18382221676
