,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4994.67834065996,4956.82029541415,4909.32232654216,5195.13414931338,5178.88337310065,5472.491232527,5033.19683497731,4981.49170698162,4809.31118682384,4973.37673106364,5207.48694560792,4998.09482997878,5047.6431363297,5392.3892951529,5117.3332058526,5187.66300183938,5142.10410051816,5358.3036125427,5138.14784938616,4933.58237180958,5077.97067903298,5038.94551594313,5086.85775441335,5073.74263568445
,2,5024.19552524199,4955.12156287948,4912.58906713827,5187.1695492,5178.71296844848,5460.87028833474,5025.82877975235,4978.69499103441,4843.8088507032,4976.35752922472,5204.34904032523,4994.30207913572,5037.99632581376,5388.81791323881,5117.45343281769,5177.73481401212,5147.20025027662,5355.08030337811,5139.83685912275,4946.28466924325,5079.96664729621,5037.58042539341,5087.27444775809,5067.95912406305
,3,5040.46672403652,4943.68286510682,4905.57515073403,5186.77332649398,5179.14562102849,5465.27695561018,5021.82080768098,4970.29699735151,4882.78593246701,4976.73412149729,5209.33111653489,4991.8275730375,5037.05142931752,5385.42610433728,5111.33631698698,5174.75298445095,5147.60472847547,5354.31992214563,5132.07699725286,4938.08610754172,5075.79637556031,5042.46668057402,5090.36105551068,5048.25650824526
,4,5041.7962467044,4933.62909274438,4902.49606150095,5182.73657784057,5176.30533703191,5462.26219615601,5020.6859309082,4964.70494679965,4895.76510725196,4976.70213110899,5206.49764066123,4992.50298368524,5027.09176107987,5390.33782728893,5112.46332920794,5170.50899856425,5146.38038711863,5364.9982002598,5129.49275929715,4945.30516627853,5075.72155963592,5039.00406098386,5081.45606523719,5030.59588475439
,5,5054.74068582837,4927.93983663653,4901.21131061934,5192.4483904785,5175.55708011983,5463.01138053159,5020.56590184056,4970.21645173674,4907.24856635767,4973.84881503616,5204.66457912044,4993.65298375162,5022.69057606316,5390.35758289482,5111.48562180848,5171.01164450161,5150.6982693204,5360.71382762875,5134.19395958894,4937.01843674614,5064.26625565193,5036.95481864621,5084.96634034736,4990.62673308167
,6,5056.16994624476,4910.59434790831,4893.24398436422,5184.30593180205,5178.13655870009,5460.50764464524,5020.73171797929,4971.10927312035,4907.60217850719,4969.75585362836,5201.7365898106,4993.06953085898,5023.6212316104,5389.70392220028,5107.82100628606,5162.22326627383,5145.03991042038,5362.55130644952,5127.42395744506,4936.11000438152,5060.76871519774,5037.50038264976,5086.89435830998,4918.53152070437
,7,5052.62341679305,4894.63365176551,4896.13793912881,5186.18691111763,5171.26269023057,5454.13821158825,5017.97515739765,4969.31231515653,4912.3459724591,4973.67033688352,5199.34864910721,4988.01014707114,5021.58026573995,5385.71787858039,5108.40617781252,5153.17842993802,5143.45093555897,5359.295831423,5126.53161346464,4940.00529745886,5065.83417729185,5038.46234825937,5091.8044910123,4840.06615064298
,8,5055.19147807187,4876.3980364775,4895.0258976676,5189.45497671748,5172.16125900302,5452.32492712701,5012.64011462738,4969.37853690899,4912.62531298093,4970.75481992717,5202.3869168122,4985.54129575212,5034.40522492302,5384.60302774143,5106.4648136687,5141.53863157647,5144.12739966019,5356.78188761858,5126.81814738835,4936.38685590379,5067.28613373767,5039.86071400308,5085.37188330837,4798.93321665067
,9,5057.79779847741,4853.36771700312,4893.28607362414,5188.01825206033,5185.9265307826,5450.95644105772,5002.95833617257,4968.12011638895,4922.56608243793,4969.42169490348,5197.57977727123,4984.95939606402,5047.9748039258,5390.03087858195,5103.97850831351,5130.63236916416,5140.77392951555,5359.7582416632,5117.44284650235,4928.21869529043,5060.36568763136,5042.383585594,5089.90988904808,4901.06864500429
,10,5049.99913764182,4833.61936106663,4894.78948965524,5186.38405122623,5171.2131454106,5455.94214832959,5009.00478130267,4971.41808903359,4909.66529781171,4968.690157767,5192.65306256705,4984.98280929115,5072.84544333895,5380.36806900611,5107.20977280389,5100.20427337387,5148.9399740359,5355.49174086473,5127.23542620622,4922.50858641786,5055.63667303399,5038.59871910428,5085.78713537872,5021.29989829697
