,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,5131.88122348826,5043.63554189553,4994.58383715733,5316.69380977399,5220.86260996145,5554.01747026049,5139.9442121667,5124.31082461426,5071.41894708716,5111.2479966655,5418.96589383347,5180.07223357386,5289.39397417426,5582.13646672847,5317.12743002023,5404.61285897334,5397.27297201451,5589.9903332551,5363.56062162518,5139.1300458237,5308.83388571723,5252.33939553857,5289.37295338257,5287.09323229107
,2,5106.89111287194,5033.35590127229,4990.15377856455,5296.73951769858,5213.00925294968,5533.85623345368,5130.65038579983,5114.18280854046,5061.95998170062,5095.3497782969,5406.86900753295,5158.84290612588,5262.37925723156,5546.04511128189,5310.06657014128,5379.67634379423,5380.66727553138,5543.49508401386,5349.67036693085,5129.00619122927,5291.17474986188,5238.29782138178,5280.1742941539,5275.57431053616
,3,5093.82317052647,5005.202265446,4980.46345903579,5278.04107336321,5182.98178043265,5519.38308818227,5112.37822729932,5101.19866651123,5053.606649355,5078.44286187474,5390.45824593219,5150.0327355927,5255.47383319588,5538.88772662942,5302.18877918253,5358.44896301218,5370.9254309423,5535.71628514167,5326.78091895276,5110.84234386751,5256.55042276857,5215.39051217239,5257.32012914866,5243.26731735515
,4,5086.31173167093,4993.68086440611,4928.72858071872,5269.48939537423,5174.048930766,5491.19029927749,5082.95592828503,5058.79410810366,5039.54173040249,5072.34492244303,5361.80313134527,5137.74145098665,5248.8469608344,5528.87819833707,5285.0960784433,5345.26287153022,5367.43113946341,5504.04717347221,5315.82986936401,5096.73788015456,5254.51514491488,5200.11781990434,5231.51135797436,5239.12286575573
,5,5072.396141897,4989.99227318971,4929.40618999179,5263.51569379753,5165.38808876081,5486.65495442185,5083.57535427188,5066.24518587649,5031.73195176172,5066.26013936649,5346.84637487709,5124.92659987101,5243.37443832028,5507.49715225704,5267.3495922395,5316.61737837371,5320.02762971681,5499.47449549532,5294.50411277029,5101.65902704716,5231.34193555403,5192.48616422111,5236.22636984646,5239.04446225324
,6,5061.8245460408,4981.91192843162,4917.17391324948,5262.39248714917,5149.77209333921,5479.03871750525,5067.04525447167,5056.11828762696,5002.05624643732,5055.11403688244,5346.60867508604,5115.34280879324,5238.43530906188,5502.75468350803,5258.2252103731,5312.24844075479,5314.26145246798,5466.77617390162,5295.0783836955,5092.61736231101,5231.18418956248,5176.47173344346,5230.92555166999,5232.2007933755
,7,5044.18167820504,4985.22130610944,4919.72620025055,5250.5624936663,5140.93314803428,5478.95111673121,5061.17717018267,5044.11699503293,5002.03208041558,5060.19219681363,5338.42905186842,5114.44935591169,5234.87002153712,5501.04770533239,5217.37342853102,5313.58986402577,5314.73070302638,5464.90221831219,5282.73349056971,5089.22480763194,5216.42870014341,5165.95992814086,5223.26451959057,5229.63679394107
,8,5049.64306613278,4982.0778653589,4913.98543713444,5251.05512655701,5138.53539611681,5457.92640362173,5053.66722153654,5038.42296278446,4978.14471370241,5052.77712509219,5300.08386660293,5094.37751759638,5229.01755432578,5447.64910800142,5209.15043169172,5304.80653216767,5303.55316229533,5460.67134267563,5273.9441673735,5061.63211227751,5215.25375101994,5147.64909560561,5222.60587524361,5227.34764452445
,9,5045.37873723151,4972.39987946473,4900.80751904056,5247.28523822323,5134.13896788243,5436.50080603056,5046.24624332494,5008.91110103182,4970.92550867677,5036.60757763637,5289.26645080527,5081.59697795557,5206.52087202973,5435.29996921853,5203.02153468593,5296.42600599507,5301.15312521185,5453.98301060784,5260.51179291522,5052.28186845763,5210.65578755084,5138.64504459183,5206.13642828863,5193.7109288535
,10,5043.7973018956,4974.4612700155,4900.53328333069,5188.06428363213,5125.86559394033,5430.25085727175,5037.67899992829,5005.18574174982,4962.85812442256,5021.39503207109,5280.03437567837,5077.67700589753,5192.25173777394,5425.89046436695,5196.89597780535,5294.56358019943,5307.34190545864,5440.66013746773,5255.2704409243,5046.46475129098,5211.73506492699,5130.89009170903,5188.95064370821,5190.01906208338
,11,5036.99089844324,4930.26389553015,4888.67707231279,5168.63899477921,5113.82628655458,5424.49689096354,5030.76855094739,4992.07710012924,4946.56501647009,4989.74266849932,5267.33904011051,5035.02584583605,5167.99721068201,5403.84828726163,5192.64849981344,5283.08858604181,5233.97679153199,5440.15179358314,5236.34269551978,5037.12511689525,5204.80538842545,5123.77057267171,5177.27788331583,5186.6648925074
