,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4230.6311330204,4126.33404624789,4105.9850446503,4904.5504289382,4395.63076467645,4523.54478748444,4361.83690182502,4348.85541668686,4298.12642638296,4463.38488626335,4402.70716323252,4390.82520947793,4343.1616079016,4697.15152887761,4438.39488996777,4532.20310407509,4572.99853797567,4525.45358606686,4542.16527256992,4290.22660989498,4464.70353038112,4484.72208609763,4553.31295317797,4380.33928630785
,2,4238.8950421799,4130.46781964567,4108.33538094663,4918.06621760951,4403.6903555872,4528.8816789311,4374.55802311378,4456.16550212405,4303.90379837682,4470.03052587594,4405.062651446,4427.65849925828,4341.54170888147,4691.49662992314,4436.84775122748,4530.19867002749,4570.29794797965,4527.12988472658,4530.39118386616,4286.97675551978,4464.37110852717,4484.81497154133,4512.25149526925,4391.65633280774
,3,4231.68031805183,4128.1143840833,4108.79489020885,4933.01150147517,4399.827752321,4529.54112057805,4394.92656188643,4462.62409673272,4304.51773138813,4465.54358333733,4399.9049983585,4462.97624884943,4345.40307078022,4693.49771871646,4436.46361855494,4533.4688120372,4572.20002745121,4532.75480932598,4517.82535026476,4290.47894797023,4468.32759091722,4485.35382860554,4481.28292429404,4419.72661550742
,4,4234.10508682193,4129.66753873615,4112.52267290085,4951.72749313289,4400.33352835446,4533.29598529152,4421.37826353507,4414.94627792134,4304.92453783994,4467.06174078111,4400.33164125219,4570.11291872974,4346.05299820891,4695.07165437094,4436.1809352984,4532.05693648489,4573.56408513261,4528.22935479763,4513.60839484798,4290.28532238262,4471.11305847846,4486.63631257801,4461.91537900558,4451.77706933664
,5,4235.13453984897,4129.81470236374,4112.21410518124,4993.29438644127,4401.22234686055,4532.22598063877,4457.05333903426,4370.22163091286,4304.88234240076,4466.18799124375,4403.05182449325,4735.29444393728,4344.25365562377,4689.05345747746,4435.47077934546,4536.26478381663,4574.3541065009,4528.57326210373,4508.31403779158,4287.51726296249,4470.19198930388,4484.63080167605,4448.91554917845,4538.0931127039
,6,4232.73676188748,4133.45023931397,4108.96751638869,5021.55776412895,4397.18500471492,4531.13155745114,4493.30430448011,4326.39999586515,4301.01724860287,4465.01234754381,4402.1359409112,4723.4465811692,4345.24445614206,4689.98032703868,4437.91452412143,4534.24697886629,4576.85780314709,4535.86127495917,4504.76854069709,4291.09385179212,4475.37044494971,4494.1337952101,4435.77501619066,4674.02558431598
,7,4236.28051645062,4129.92569503314,4110.28894099311,5053.00197747792,4400.4353351215,4537.28081560207,4590.39520697325,4296.6885193698,4307.46487261535,4466.34753658039,4401.26152891477,4655.80438161686,4347.29113690476,4692.08497736558,4439.84800073042,4532.24271988265,4575.4402133803,4531.20575600625,4504.86209727222,4284.51085352484,4479.75988587052,4492.36664125595,4426.31096230386,4682.91830666786
,8,4237.49875600422,4122.71665930617,4109.95449689019,5152.95251008147,4401.60540196667,4532.55166527797,4738.17809037227,4272.68950992101,4305.30758798849,4466.12760994368,4401.05611279289,4584.61312881259,4344.43602613793,4689.9145853697,4440.36557403836,4535.84592908023,4580.0698602281,4529.99256987117,4502.05719964687,4285.1024509591,4486.67492736266,4494.61645532223,4420.7490860521,4628.99058628159
,9,4237.99790561595,4127.43599072965,4108.8833577015,5309.48916656507,4402.41944418935,4534.83037658244,4736.59576746885,4254.33011482331,4302.04588668419,4469.12113225666,4402.31626748155,4529.35054158867,4351.19738132107,4688.36183728674,4443.7574631417,4531.09488042129,4577.01054175407,4529.55356314866,4501.12237227792,4287.39291667159,4493.97271382543,4505.86123396468,4420.7903746458,4571.22952594281
,10,4238.77502703689,4125.12102938356,4109.06254330343,5313.34538926707,4402.96787367213,4532.81910466599,4670.67274359934,4245.25931998482,4305.00265593881,4467.89127755311,4399.38404696729,4479.63962305277,4354.30893208419,4692.94489212299,4436.29048183908,4535.01729796194,4578.99336403999,4526.1171130393,4497.55995003961,4283.80744741123,4508.02290178528,4521.19644273147,4418.06987405196,4519.21503611649
,11,4236.06401600159,4128.1659540348,4113.6638123727,5231.72142991881,4399.29162262054,4534.89703370293,4595.70235640532,4238.81007893347,4303.8881051628,4465.44910165883,4400.98329235199,4443.38068735154,4345.2263334215,4686.82577405074,4440.44088075773,4529.93977988389,4578.08869427927,4530.50150142793,4495.44882666132,4284.27211991633,4516.43326685151,4539.56167046992,4416.18912936845,4481.67758369895
,12,4235.09815673624,4125.78122786275,4110.60246267122,5158.51292651741,4401.45316862612,4533.42686001109,4536.72528066089,4236.38969934583,4302.7851350404,4459.8978370834,4401.66744452602,4417.3923782897,4349.15992380794,4686.88744496625,4439.89190242212,4530.65696001254,4575.2946647998,4530.48435365573,4495.46509340227,4287.20132329648,4536.32208508823,4561.72775755999,4413.36727275893,4452.13565912755
,13,4234.53960851326,4124.04742261606,4112.41883997682,5097.64216571295,4404.07741893883,4534.12435681935,4489.0190862446,4230.39743338162,4303.96876567941,4463.91822236911,4400.90992136343,4401.25870300461,4344.96741645647,4688.9202086521,4440.41900919414,4538.47938822091,4577.69823200458,4529.97255865963,4498.92737982005,4284.87559370778,4566.51146488688,4592.1984081348,4415.17358171869,4430.29817387125
,14,4240.27087276035,4123.96767560862,4110.2499466457,5055.30582521551,4399.13788358196,4535.18258188841,4460.99018241013,4226.08679096995,4302.86735601469,4462.10541958049,4403.64860399676,4388.4057926097,4345.85947115491,4690.93457171961,4442.96837148459,4539.08104050681,4583.97402785812,4533.08642092097,4494.05608344682,4288.83215951022,4622.0734807867,4678.80399236132,4411.91887017114,4409.37493997729
,15,4231.62343451672,4125.47579278537,4110.9105128804,5018.83153968648,4401.35542640537,4532.50130686879,4430.5868604972,4225.72224175171,4305.0676946154,4465.02501175047,4402.2012199889,4373.53357075432,4353.20850405815,4688.83258257666,4443.72680948947,4545.80340987172,4581.89821923214,4531.47142376139,4495.24913955021,4289.17083746449,4642.40588798841,4736.90154871066,4411.09772445712,4405.53960308125
,16,4239.31712096721,4126.22243750055,4115.27658748525,4998.22048385282,4397.16614096712,4536.23260897586,4412.39505902792,4227.94220020502,4300.81886808486,4464.49158797084,4401.51553354454,4368.58116181821,4350.05574974557,4688.78470614278,4450.37916405712,4557.59292978442,4576.42454820034,4535.02440919456,4494.75186225812,4285.95218198008,4608.07227864373,4696.43409768425,4417.17504681861,4395.10113494293
,17,4237.73926570894,4128.08208026858,4113.13721464711,4977.32425250373,4401.84970507136,4532.41475077902,4400.23625775783,4223.14346133648,4299.00257258831,4465.66441653116,4403.98389666739,4366.8616859955,4348.36663094616,4693.20325874167,4456.93726558508,4587.09169192955,4581.11988069413,4534.05348018259,4494.25407351095,4286.61966779145,4570.8165794512,4643.99076421891,4415.07563874424,4388.00150702179
,18,4236.66322737692,4126.51863269429,4113.04919188808,4964.80497121915,4401.4617020052,4532.53653778846,4392.12687269152,4222.52431174464,4303.25365083754,4467.05821127048,4406.83834269779,4363.97808930013,4353.48386978407,4691.13964727051,4472.77751295397,4627.82704622881,4582.35062862378,4532.02042752458,4492.64531124821,4291.04479795127,4538.50726826498,4598.22590657505,4407.69639005178,4379.37640238797
,19,4236.23893143021,4127.35273922067,4115.68233981625,4960.70209577536,4398.96850537394,4535.10477361742,4381.65440559458,4226.86743201697,4301.94844458481,4465.68202956779,4407.47350574477,4359.58506036991,4351.01132451616,4692.28713525616,4496.04791552803,4721.72257150298,4582.21739072049,4533.49664661916,4496.97251821402,4285.45162346944,4515.91560812193,4565.64847717281,4411.16081101902,4382.79874414295
,20,4241.82088524983,4124.81008016175,4115.04217458173,4954.48998232818,4401.06162376807,4537.78026878709,4380.67183629231,4219.81162222728,4301.82196231582,4462.2571596623,4410.53548328373,4361.81494250242,4347.73323138415,4692.96452633097,4515.41400617797,4882.46088523617,4581.4036309791,4531.13902545283,4498.23933486162,4285.40453852994,4497.10980687032,4542.78413108971,4411.50090717367,4381.04834758252
,21,4241.97869771682,4125.94107187661,4113.76117147004,4956.25098043919,4402.09707085612,4534.88304774789,4376.17373695816,4222.43387952071,4299.82114049352,4461.93124418787,4414.80445129996,4355.62681721405,4351.37712983522,4690.16582413036,4554.9649696284,4900.92090026817,4580.50816612397,4534.12285143348,4499.11623516495,4292.47675662013,4487.33288986843,4527.62019912984,4414.02806950703,4380.3147889973
,22,4238.70476568728,4129.17907702349,4111.64082064812,4947.7777964883,4402.00308984939,4532.69885465643,4372.86840919692,4219.72406614459,4299.50926010565,4463.18523524301,4423.35442098312,4353.46897627673,4347.48651289366,4688.29369651661,4660.675063565,4831.59258236357,4584.45842921562,4534.32683317611,4496.37757006805,4290.33175922251,4479.8037473932,4512.05221095332,4412.74600402515,4373.99978148449
,23,4234.56099809141,4127.47088324425,4114.15174635862,4946.96442919521,4399.94224908462,4536.47686604001,4371.57181964627,4226.11110544489,4303.47139541896,4466.07234173802,4434.55021151696,4354.45155547145,4350.71402890445,4692.52625179595,4756.34801859282,4760.18441853608,4585.97402685088,4538.14905552337,4496.47421462224,4290.20137084638,4476.74001586412,4506.96158864513,4413.41178322939,4373.97827330874
,24,4235.508056498,4139.80398658723,4111.98207315495,4949.9429390549,4401.42722067949,4533.49767890566,4372.68730431174,4222.84997061029,4300.76198902537,4468.07786967635,4461.26324973383,4354.77760102981,4350.7918511993,4698.84992077166,4717.35097866025,4705.28845233158,4588.61326001553,4537.04885866403,4497.51481904483,4295.60527246622,4475.04541518001,4500.1793884373,4413.3946859695,4372.75628396739
,25,4243.37561545555,4151.3157797894,4112.78160083388,4946.05393499182,4400.12983423072,4535.15256091141,4367.64811533808,4222.63926220235,4302.01559135073,4466.37216135985,4479.32068826193,4353.22130015399,4349.70493032416,4691.14219209167,4654.63418451124,4662.75181234748,4583.30306699987,4541.68222198755,4492.83676949019,4317.45172273008,4470.89275532766,4494.68482219495,4413.06212547665,4369.19104704174
