,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,FAM,,Unkn,,2768.69964806476,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,2745.70446445854,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,2681.44395619916,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,2844.61121472929,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,2766.34447216981,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,2736.33972254478,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2739.79536068268,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,2779.83604462444,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,2771.43432746659,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,2787.07346965007,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,2789.48812664148,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,2792.92195451704,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,2765.38093065986,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,2726.14696027008,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,2776.87440673051,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,2813.43237604045,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,2797.94248583228,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,2680.95800734792,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,2809.06644748541,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,2771.80293002976,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,2794.56375690906,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,2899.0667267976,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,2840.99216827869,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,2783.4227964743,,Unknown,Unassigned,False
