,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2778.18901221543,2755.47179620008,2693.34110170864,2861.43443513724,2774.57704489144,2745.37469033695,2767.32401790657,2822.11689500876,2791.97489565587,2815.47942949633,2831.17745677315,2814.03986939334,2799.54904624281,2772.18343699269,2790.96902759536,2848.53779399338,2840.34579810539,2697.47020414631,2827.38691439991,2793.09097176105,2829.55983250093,2930.80429554421,2841.58918124509,2824.61163018868
,2,2779.07875068896,2750.07798390988,2687.85518879626,2863.60235227899,2773.213718656,2743.57751277418,2756.91135446122,2811.10930871491,2787.91822714929,2810.07547079994,2819.19997949922,2810.51225267309,2792.11493461354,2760.92977056241,2784.2179672945,2847.54092907463,2834.38367346029,2697.77458541824,2827.61391633838,2784.93910086579,2816.564842318,2924.66074122291,2841.17660892596,2814.56317186527
,3,2782.01500035179,2751.23810075533,2687.68933482901,2864.22529139443,2775.99403854051,2740.30596263958,2752.24274272731,2795.81010867568,2790.93166290362,2802.92334337449,2807.86588514845,2808.44068569485,2780.49926890079,2754.37570525354,2784.36544528828,2839.0134027707,2817.86210862666,2696.95844988306,2825.22101369343,2783.34261027286,2811.17805042263,2920.82698926261,2836.99618856674,2806.02412298308
,4,2781.39766292608,2750.80254851879,2686.98101678677,2860.33830732448,2773.26930935735,2744.76377575189,2747.67459367604,2787.3611979016,2788.7654887902,2795.3836901621,2797.75144907618,2805.73652081223,2780.97844851708,2746.54021823523,2781.4654061398,2837.08569174173,2812.57940127127,2694.43644137872,2822.16677932187,2776.57369713527,2809.11257233166,2915.53026161877,2838.44212893432,2800.08341962632
,5,2778.18832434669,2750.354364709,2690.75297652102,2861.05391598134,2770.88525405399,2740.13031794139,2747.61659486356,2781.41921062473,2788.59112896754,2800.95563981035,2796.76697751002,2807.35703587557,2778.1547727076,2743.54027967015,2781.29847487397,2832.27410422203,2808.3948601662,2689.32942531107,2817.835942658,2781.80303470163,2805.36264178191,2914.16977785117,2836.64153902105,2797.22016611675
,6,2782.73706067049,2749.81810031757,2687.2722559645,2851.55173104148,2768.4696106788,2738.21612485827,2745.4091208207,2778.67775916322,2784.08693170277,2798.80874140791,2789.82467946418,2805.80285239221,2775.8384640262,2741.17103069602,2781.57791467995,2831.84664111367,2805.61045166516,2693.28473002707,2818.4558747477,2780.46284458422,2803.76917256367,2911.51821229696,2834.48624620694,2790.18788129582
,7,2779.52211189164,2747.50598523166,2689.13016991636,2860.8035385132,2771.56554453906,2741.33706858901,2744.25627143132,2781.06810661777,2783.52661098861,2800.83291160883,2790.45484371979,2799.08415043375,2775.43274137956,2735.14341741218,2783.20720945369,2833.17157035167,2804.14800687078,2695.00604107529,2815.29824455633,2778.14644555431,2800.1006763451,2915.66723068127,2835.4887404753,2794.40303171484
,8,2783.59504877893,2751.0596025119,2693.18824998683,2860.32956912165,2773.09134284175,2739.26102251802,2742.7736763974,2778.11133607717,2779.67102471313,2797.57607925282,2789.02821892557,2801.72316818094,2767.62563779208,2740.41682267581,2779.24938456022,2835.35538830317,2802.13697597005,2691.1217076772,2815.79097807902,2776.29011765849,2799.85844874498,2909.82353013699,2838.32307914547,2788.89828539622
,9,2792.82409107394,2749.66112515773,2687.82696425983,2860.46774078295,2770.5197450893,2742.56924192064,2740.27667184478,2778.88475916292,2781.34273803451,2794.8400916667,2787.69323946505,2800.2619436204,2771.72533673188,2733.8651782586,2783.48237332096,2832.78979247439,2799.75980757859,2691.39986443161,2816.8306248156,2778.3355391773,2799.19769076063,2910.27320520737,2840.6459610345,2790.98409555787
,10,2795.03034802769,2752.39461520158,2689.12155720256,2859.60506055126,2770.89028968458,2739.81204796591,2742.37798450133,2779.18085108048,2779.61433282603,2792.84602856542,2786.16254211913,2796.5473800465,2773.93035335997,2734.80623931627,2785.1981900005,2830.3540400599,2796.20505143168,2695.01928338221,2813.64244011898,2778.88463103133,2800.06369179178,2908.43466117256,2835.2852623917,2789.04412023789
,11,2804.80051585289,2744.95948307872,2689.21462879531,2858.52445279003,2773.52422908706,2744.88481984357,2746.16539770856,2775.49363983275,2779.26365730637,2798.75979604823,2786.56002634333,2796.91097373992,2773.33133532988,2733.48772830155,2783.26858492905,2833.55719109897,2800.26934737249,2693.12315562996,2817.21709550716,2779.22198640899,2800.19973993053,2909.75913438742,2834.49447354604,2792.19903481341
