,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2495.9941132837,2538.74482141421,2464.28983302087,2601.49357268481,2520.16752323163,2497.71506797518,2528.81220467815,2544.4382864019,2520.42393599354,2565.94408952779,2520.70664595305,2525.11241348332,2544.06714951964,2496.66072949756,2564.1491801638,2631.28509344051,2519.07448546326,2491.27684178804,2556.0135104363,2534.64366052486,2565.55461165437,2625.5265621209,2559.91217946785,2548.58188180406
,2,2488.9185310498,2542.43936604161,2464.2596970882,2601.18552051606,2517.7298697267,2502.34970551023,2535.25467970634,2546.44320851469,2528.63436935296,2569.23365399569,2532.83417334471,2536.70918135986,2549.35223826722,2508.5673180887,2567.22583214096,2631.47854651578,2532.11334255214,2499.23891698904,2562.04944836027,2534.59646483753,2568.22194360044,2630.67758590397,2562.24680438727,2557.24538850037
,3,2488.56085342586,2541.81376649939,2461.62481088367,2601.62029128245,2518.84955048712,2504.90104410966,2534.5374742044,2552.76674112401,2537.28369778589,2575.24139614221,2533.79163077527,2542.35702744883,2551.29074012178,2511.53083883208,2564.62284586908,2638.8986684189,2535.24379902486,2497.26996941124,2568.65961187843,2531.20577407589,2571.96127353846,2629.85740286772,2563.69277557156,2561.63469565947
,4,2485.13755533698,2538.35428506816,2460.49176405076,2602.52128336034,2517.46714192874,2501.95666981203,2536.0613084892,2551.88884445622,2538.31721257716,2572.24899175565,2535.74106310505,2548.45789915695,2557.37493992896,2511.78920618943,2563.60070004326,2635.65917496413,2535.20398280214,2498.12620434132,2566.35127099155,2540.38331045239,2570.6446530555,2630.47111393775,2561.5951782459,2557.81017422139
,5,2488.5869751746,2542.78172912086,2463.68294077156,2607.48679058364,2515.37157324995,2501.90896317054,2530.79774407183,2550.87668983085,2548.62971332804,2572.9601267792,2534.93245471803,2552.53503971735,2549.34854609947,2506.22151617103,2565.17398471188,2640.90275807002,2540.92857296869,2499.46391035554,2565.32292740572,2540.08645697009,2571.67112194746,2631.77265036597,2560.51462925649,2560.35556777742
,6,2475.62160934514,2541.99449477581,2462.93862877494,2601.90765961329,2517.70204228806,2500.0362544005,2534.06753688367,2559.11222148973,2551.33258591274,2574.11972987343,2534.28120825606,2559.28769965839,2551.25421953631,2506.56534714549,2571.78945441174,2636.02699602366,2539.25990438427,2498.22607429785,2563.29307231349,2535.09177746148,2570.49392904269,2633.43613078166,2564.0710950675,2560.9244753669
,7,2478.22303271272,2543.04757109665,2459.50092639303,2603.91845902542,2519.8302005009,2499.9058023336,2541.09146637469,2559.42989412658,2553.9083564763,2570.64261081319,2534.91842068655,2555.49567205864,2555.75216902121,2509.63519492503,2568.51960556424,2640.09175728332,2537.27677275761,2500.35076978845,2567.88422295204,2542.05440719247,2571.66239430472,2632.39054288919,2564.7217810235,2561.64333561625
,8,2471.64843529449,2543.33629061278,2462.37396323221,2606.19155705791,2523.12957760041,2502.27139734956,2540.7968178681,2554.53288205929,2556.5214967495,2573.87793806691,2537.89021562068,2563.67197275458,2551.75364349182,2512.13786835552,2569.80486117962,2640.55246091402,2542.1003798153,2500.01539805947,2567.82086926097,2534.69626688597,2575.0390954006,2635.72628343496,2562.88864329681,2561.487417422
,9,2467.83397429333,2540.0873899739,2465.16910876003,2605.58842920238,2520.94342252543,2503.99788834243,2538.49504316543,2555.27307514126,2554.03617192024,2572.54946166283,2537.19089929458,2562.74007033403,2558.984755853,2514.19142146031,2564.0992418622,2637.52520947802,2540.73984007194,2504.30648620758,2566.8361957874,2532.29211190367,2571.16079779128,2630.50928781635,2567.04685908915,2559.87634891926
,10,2471.90097513296,2539.9914851006,2463.54153420024,2607.48200771089,2519.95213519547,2503.53961272116,2540.95648496312,2553.74259440433,2559.18475554619,2573.592715697,2533.36698697356,2562.62692690979,2551.19928336584,2516.11442915628,2571.57260787392,2639.86824490653,2541.84612834703,2504.28422992767,2572.52149437019,2533.10231291235,2571.24835732908,2630.8644802546,2562.56870994104,2564.24099548118
,11,2475.3078945091,2540.65477511578,2462.44338031393,2605.49642162438,2518.67615913454,2500.3567885409,2535.8266460043,2557.29385377688,2556.86621175948,2571.33129778113,2537.35738045085,2566.96940866176,2556.69281440144,2514.45558838816,2570.77439016369,2641.16894446786,2541.53423079911,2504.88936363013,2563.58828862225,2537.21581662408,2570.74496345922,2632.90060608013,2562.47644609753,2561.39535203233
,12,2484.33773833157,2540.28572714497,2459.6900563958,2604.67096852122,2516.811014356,2501.56809733695,2533.98219362897,2560.07003421987,2558.83120297023,2570.51246931829,2534.55897742648,2566.30194527647,2552.60716749674,2508.55226559893,2569.18523490388,2639.93161876958,2536.20640326105,2500.03901904144,2567.11444335362,2540.47381365666,2570.7221465529,2633.18800060267,2566.50395040892,2559.20194620007
,13,2490.06452165674,2544.87069608226,2462.60263982368,2602.36320788663,2520.71867102795,2499.00013962598,2534.72179775264,2556.56650585439,2558.57252443682,2570.25773456959,2536.51396966397,2561.93666715471,2555.10074145606,2510.16718257702,2566.30720153727,2638.31848807178,2536.65550272957,2501.01311573673,2561.94019030653,2536.13253332401,2568.97516143399,2630.42600273673,2561.73574309089,2561.05072703751
,14,2493.70710556128,2539.42927908254,2464.37679232957,2602.87177997689,2521.39163147634,2501.38306855548,2533.13711334383,2558.34630621077,2553.9812938744,2567.21037247961,2533.84600550322,2565.31009384533,2551.70137405273,2507.69856380717,2570.47627269219,2640.29104768512,2541.88080257949,2502.59626574824,2564.1394825981,2537.58823669922,2565.07801824695,2629.56508777989,2565.97079417342,2560.37614946822
,15,2489.51393979404,2540.73125508327,2464.16457940781,2603.76712093451,2520.84122482525,2501.91507276922,2530.57469335182,2558.02046572927,2553.62027911359,2572.12290196686,2533.64687813886,2565.05818268571,2554.78349864012,2508.73413312429,2570.47210969546,2641.9961069985,2538.81440781545,2504.11748743622,2571.16549534427,2533.45392925927,2568.68958497629,2633.43302605556,2564.58112287498,2559.40030007402
