,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,5656.69142648114,5945.3618412531,5402.05340973427,6326.53613664205,5861.18319355263,5743.96956995197,5953.22764554041,5915.08532330362,6114.47923781837,6138.33168032975,5855.40499512078,6106.72179231347,6079.06611081402,5815.33314846218,6209.47027666027,6603.39655906587,6049.17447872675,5797.32197090598,7890.1878415409,5963.81286806838,6223.76954799753,6475.14215656006,6138.1765142004,6096.49974471702
,2,5659.91792234643,5945.83059530423,5402.46112276229,6324.23176494962,5865.69941483045,5743.2008388865,5951.60630874931,5909.2317185308,6117.69300255212,6142.15014428469,5853.51712141964,6106.64532428633,6084.98973831353,5812.71334311962,6213.8974699504,6603.13081153727,6049.00797745447,5796.64624564784,7911.12867412483,5977.61200726171,6223.55575592873,6474.5601017596,6132.91898645165,6097.77368405919
,3,5650.68043465163,5941.9115425407,5396.89582198934,6323.33381412869,5861.90189002054,5740.65306579249,5953.29089925221,5915.89678502236,6121.8674108589,6132.93427000609,5857.77012737502,6101.07671852351,6080.26687143182,5817.48857950565,6209.7189196855,6603.29711072155,6048.52726605495,5792.17481612325,7887.6301793204,5955.22274456783,6215.24739275438,6474.01263216602,6132.01840443059,6100.03926433817
,4,5649.78518269013,5935.78636041361,5391.52896506149,6317.74373541492,5860.02659430293,5738.29429928903,5935.03494077037,5906.73968178815,6108.59224480758,6126.11518550201,5854.16607155185,6094.04348317503,6074.17440230527,5806.93741213892,6206.74618514913,6593.93132056209,6044.28704145206,5789.31303088594,7884.40028224726,5964.38210582411,6214.07829594798,6469.26763411469,6131.56240329711,6098.57494824467
,5,5645.44265608182,5935.86783826807,5399.09176056618,6319.10014847156,5856.37166818749,5734.13856512685,5935.11807372696,5908.74262345697,6108.98268367716,6122.44732167736,5856.96373906649,6089.57247470682,6065.71706282663,5808.47248647045,6202.08867128199,6598.47924392644,6037.70499313577,5789.89118194463,7890.38891206072,5968.33860572546,6217.23986674221,6461.69075470172,6132.04279100575,6098.11324380605
,6,5648.23239739921,5932.30223412619,5389.44277924039,6310.79691739714,5855.05530653861,5731.80849061343,5945.05487437487,5905.51685607964,6110.24444030566,6120.97781208266,5858.23613737714,6090.22229715753,6073.54931500386,5802.31565136111,6198.86376440131,6592.68375921736,6032.95838893752,5784.95342984523,7888.67508225807,5964.15924048111,6212.38186274927,6458.2964418125,6123.62621266889,6095.06489815162
,7,5643.72217992161,5932.56587675523,5392.73881392683,6318.7371630857,5858.12429600952,5739.32692415055,5927.93461727775,5910.61779730615,6108.43348062379,6127.66256510247,5856.51287823855,6091.80381037811,6067.09051260413,5804.05443432125,6201.8741004317,6594.36835503887,6042.13548109623,5787.69577649963,7882.40755110703,5962.61336353251,6210.06370382357,6468.89064813169,6125.02682444199,6100.90925012471
,8,5646.24536531687,5938.71043060252,5394.98406213297,6314.01309280488,5855.30744256144,5737.66007692885,5930.11130006608,5920.73705726269,6102.28132090242,6123.30171411859,5855.63087796512,6092.38988630617,6067.33949860604,5795.15443987753,6198.53708682581,6596.60609742604,6038.4380248863,5787.86579354237,7896.8355364613,5963.49676017704,6217.80953798991,6464.10713790811,6124.07536060665,6098.01373254995
,9,5641.13705216232,5928.3746584987,5386.77332104428,6308.10672354807,5854.39274463712,5730.46682130639,5934.22196694664,5904.55800099925,6096.00683429595,6120.65263765517,5846.10373096472,6092.81315360984,6068.4224522102,5797.77425207803,6198.09399270633,6587.90616670471,6044.20575669559,5786.31561829499,7901.3150935747,5965.32582440657,6206.26424376719,6462.01673020598,6127.37535602506,6090.88757951346
,10,5639.37699111663,5930.22188255843,5391.68548534501,6307.80382369228,5853.60256618269,5734.95018344263,5931.10394634059,5903.54420156514,6098.75794104179,6122.88286694518,5850.29647816529,6090.3770181514,6067.27126565913,5799.95697146259,6195.70271307024,6589.62912873481,6035.80102225881,5780.1215813585,7895.68837049195,5962.30280108765,6206.79669624785,6459.47437805365,6126.72416542215,6087.16451603295
