,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,ROX,,Unkn,,5557.20751620945,,Unknown,Unassigned,False
,C04,ROX,,Unkn,,5914.8539819808,,Unknown,Unassigned,False
,C05,ROX,,Unkn,,5337.2215288538,,Unknown,Unassigned,False
,C07,ROX,,Unkn,,6254.26143109122,,Unknown,Unassigned,False
,C08,ROX,,Unkn,,5832.64781854194,,Unknown,Unassigned,False
,C09,ROX,,Unkn,,5711.13329389853,,Unknown,Unassigned,False
,D03,ROX,,Unkn,,5886.76535008199,,Unknown,Unassigned,False
,D04,ROX,,Unkn,,5938.95884888327,,Unknown,Unassigned,False
,D05,ROX,,Unkn,,6072.27146361648,,Unknown,Unassigned,False
,D07,ROX,,Unkn,,6080.90368705927,,Unknown,Unassigned,False
,D08,ROX,,Unkn,,5892.11541667897,,Unknown,Unassigned,False
,D09,ROX,,Unkn,,6081.98567692016,,Unknown,Unassigned,False
,E03,ROX,,Unkn,,6042.78324330835,,Unknown,Unassigned,False
,E04,ROX,,Unkn,,5779.97679444937,,Unknown,Unassigned,False
,E05,ROX,,Unkn,,6184.76115414526,,Unknown,Unassigned,False
,E07,ROX,,Unkn,,6588.12160843581,,Unknown,Unassigned,False
,E08,ROX,,Unkn,,6036.87844122122,,Unknown,Unassigned,False
,E09,ROX,,Unkn,,5758.85398617338,,Unknown,Unassigned,False
,F03,ROX,,Unkn,,7931.05008641805,,Unknown,Unassigned,False
,F04,ROX,,Unkn,,5953.79794854896,,Unknown,Unassigned,False
,F05,ROX,,Unkn,,6192.35708209865,,Unknown,Unassigned,False
,F07,ROX,,Unkn,,6444.40214091118,,Unknown,Unassigned,False
,F08,ROX,,Unkn,,6133.44649739429,,Unknown,Unassigned,False
,F09,ROX,,Unkn,,6052.90594638142,,Unknown,Unassigned,False
