,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,HEX,,Unkn,,2481.35412118234,,Unknown,Unassigned,False
,C04,HEX,,Unkn,,2535.85574672738,,Unknown,Unassigned,False
,C05,HEX,,Unkn,,2452.0429836042,,Unknown,Unassigned,False
,C07,HEX,,Unkn,,2591.46947970523,,Unknown,Unassigned,False
,C08,HEX,,Unkn,,2514.57249881152,,Unknown,Unassigned,False
,C09,HEX,,Unkn,,2497.60713865212,,Unknown,Unassigned,False
,D03,HEX,,Unkn,,2527.21004746192,,Unknown,Unassigned,False
,D04,HEX,,Unkn,,2559.10142249445,,Unknown,Unassigned,False
,D05,HEX,,Unkn,,2550.61130180018,,Unknown,Unassigned,False
,D07,HEX,,Unkn,,2560.83788015597,,Unknown,Unassigned,False
,D08,HEX,,Unkn,,2540.54459165368,,Unknown,Unassigned,False
,D09,HEX,,Unkn,,2560.50341595302,,Unknown,Unassigned,False
,E03,HEX,,Unkn,,2548.44536013032,,Unknown,Unassigned,False
,E04,HEX,,Unkn,,2505.0292459936,,Unknown,Unassigned,False
,E05,HEX,,Unkn,,2568.29351807012,,Unknown,Unassigned,False
,E07,HEX,,Unkn,,2637.79324805958,,Unknown,Unassigned,False
,E08,HEX,,Unkn,,2537.00849852339,,Unknown,Unassigned,False
,E09,HEX,,Unkn,,2499.04091357508,,Unknown,Unassigned,False
,F03,HEX,,Unkn,,2558.93010018121,,Unknown,Unassigned,False
,F04,HEX,,Unkn,,2534.6820354439,,Unknown,Unassigned,False
,F05,HEX,,Unkn,,2566.14030135697,,Unknown,Unassigned,False
,F07,HEX,,Unkn,,2627.07100517893,,Unknown,Unassigned,False
,F08,HEX,,Unkn,,2560.97315981014,,Unknown,Unassigned,False
,F09,HEX,,Unkn,,2549.96444266428,,Unknown,Unassigned,False
