,Well,Sample,Call,Type,RFU1,RFU2
,C03,,Heterozygote,Auto,2768.01295982741,2483.41757602875
,C04,,Heterozygote,Auto,2746.00868275989,2533.92219279795
,C05,,Heterozygote,Auto,2678.43182420617,2453.95770767358
,C07,,Heterozygote,Auto,2845.09277237801,2592.18172704065
,C08,,Heterozygote,Auto,2765.73495184423,2514.58069354247
,C09,,Heterozygote,Auto,2734.88912586558,2496.37629948806
,D03,,Heterozygote,Auto,2736.54554256302,2528.69784034094
,D04,,Heterozygote,Auto,2779.58891944846,2557.26738866686
,D05,,Heterozygote,Auto,2771.88560094774,2548.53107854293
,D07,,Heterozygote,Auto,2787.65659628229,2558.30055288456
,D08,,Heterozygote,Auto,2788.77863329042,2541.14276155072
,D09,,Heterozygote,Auto,2794.03243832834,2557.03068454949
,E03,,Heterozygote,Auto,2767.53396261149,2551.51644767533
,E04,,Heterozygote,Auto,2724.02462142544,2504.41001527945
,E05,,Heterozygote,Auto,2774.94588256291,2564.42789243577
,E07,,Heterozygote,Auto,2811.99991722987,2637.96472596189
,E08,,Heterozygote,Auto,2798.23124223999,2538.31589665652
,E09,,Heterozygote,Auto,2680.91440569206,2500.99850081913
,F03,,Heterozygote,Auto,2806.71553508449,2558.46673613423
,F04,,Heterozygote,Auto,2773.96551349282,2538.39646451988
,F05,,Heterozygote,Auto,2795.89238514613,2562.87827735812
,F07,,Heterozygote,Auto,2897.82231881671,2626.00176981964
,F08,,Heterozygote,Auto,2839.88465568394,2564.71392967996
,F09,,Heterozygote,Auto,2785.72200212444,2547.5024285276
