,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,FAM,,Unkn,,2759.61959638548,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,2746.79805359304,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,2674.09996500245,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,2836.25279538271,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,2765.71008649431,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,2736.79767550256,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2735.93535487816,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,2789.7012938946,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,2770.13588853522,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,2780.75927007499,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,2798.18322804791,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,2793.36643956697,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,2756.25635313452,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,2726.00085148995,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,2776.50814369969,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,2807.69134727488,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,2799.33376989382,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,2676.20747112613,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,2802.07112142383,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,2769.88912875299,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,2789.99520848643,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,2887.90593883795,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,2843.21243306694,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,2772.23030264688,,Unknown,Unassigned,False
