,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,ROX,,Unkn,,5470.06555461055,,Unknown,Unassigned,False
,C04,ROX,,Unkn,,5901.79851005586,,Unknown,Unassigned,False
,C05,ROX,,Unkn,,5276.09409803449,,Unknown,Unassigned,False
,C07,ROX,,Unkn,,6212.02552189742,,Unknown,Unassigned,False
,C08,ROX,,Unkn,,5826.24366532754,,Unknown,Unassigned,False
,C09,ROX,,Unkn,,5699.26444663556,,Unknown,Unassigned,False
,D03,ROX,,Unkn,,5849.48279457797,,Unknown,Unassigned,False
,D04,ROX,,Unkn,,5992.99418412029,,Unknown,Unassigned,False
,D05,ROX,,Unkn,,6058.6432142744,,Unknown,Unassigned,False
,D07,ROX,,Unkn,,6035.94068165946,,Unknown,Unassigned,False
,D08,ROX,,Unkn,,5942.04943762715,,Unknown,Unassigned,False
,D09,ROX,,Unkn,,6094.98529880037,,Unknown,Unassigned,False
,E03,ROX,,Unkn,,6011.38965361049,,Unknown,Unassigned,False
,E04,ROX,,Unkn,,5776.7885245686,,Unknown,Unassigned,False
,E05,ROX,,Unkn,,6183.04504246001,,Unknown,Unassigned,False
,E07,ROX,,Unkn,,6591.39812670324,,Unknown,Unassigned,False
,E08,ROX,,Unkn,,6053.47946583145,,Unknown,Unassigned,False
,E09,ROX,,Unkn,,5726.92116526356,,Unknown,Unassigned,False
,F03,ROX,,Unkn,,7899.26596932593,,Unknown,Unassigned,False
,F04,ROX,,Unkn,,5952.68739256005,,Unknown,Unassigned,False
,F05,ROX,,Unkn,,6185.09958754769,,Unknown,Unassigned,False
,F07,ROX,,Unkn,,6414.752751042,,Unknown,Unassigned,False
,F08,ROX,,Unkn,,6132.31331693758,,Unknown,Unassigned,False
,F09,ROX,,Unkn,,5985.88964311664,,Unknown,Unassigned,False
