,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,5520.55185399361,5940.91238148512,5317.21016907528,6267.56700097225,5852.48031439329,5726.98598953851,5897.42027845269,6011.33215432286,6099.54130208224,6080.56803923191,5963.76012268551,6107.80187823816,6041.78846939862,5810.32184142698,6217.61817775026,6614.89192587532,6075.70357904914,5758.17830884447,7912.76310436839,5958.76467399629,6194.05190673737,6437.55906317353,6166.69965688711,6038.5578584044
,2,5511.33246256419,5928.78789812438,5307.91448417179,6262.45616187385,5848.27288232539,5723.99621548574,5901.06001710615,5994.8283062822,6086.92253574397,6079.2657798794,5958.75849128859,6109.95498390485,6032.2895858699,5794.52851150136,6205.64176988899,6609.91048784319,6069.83326955841,5753.58437681485,7914.79504008964,5963.23071833319,6199.23569774568,6434.47996125232,6154.5308579463,6018.31225870819
,3,5519.8871166669,5934.7592789015,5305.05448359319,6260.32906824469,5846.84544326722,5722.69972110625,5892.42373193398,6004.97491834036,6089.32311247281,6076.23814751989,5958.62517422284,6111.54373012799,6032.76537348861,5800.837435481,6206.65752226238,6613.23285724483,6066.40650528835,5752.97680342979,7903.3523437882,5962.78437089844,6202.0620841248,6434.97512497427,6154.9159579494,6017.97474610588
,4,5510.73292575854,5929.44620099324,5302.28266296481,6252.76650387596,5843.13120859236,5716.10385816576,5890.02213520909,5995.2303236546,6086.95703300886,6068.43265964039,5957.29437027537,6106.76285725005,6036.82402994073,5792.39963729533,6199.55898025155,6609.36004023887,6067.13079550515,5748.73144444437,7899.12434484971,5952.41017905364,6191.88119234233,6436.08746078201,6145.7108590867,6017.20430377466
,5,5513.00810109309,5932.82200446151,5299.01864129031,6253.59423419304,5849.41225080868,5719.23869903876,5897.46780896846,6003.2373362587,6093.47135825113,6073.43187750131,5952.59323102557,6108.58129433339,6035.84683221404,5802.93120623911,6202.80996686677,6614.02096295786,6068.72184652767,5752.97212458175,7910.17872379519,5958.43196691724,6202.36795873697,6436.96064713701,6158.71160787522,6013.78926898076
,6,5517.8698893339,5926.58799621238,5299.92756072104,6253.81102241789,5849.16961272056,5721.74420645498,5888.63540599066,6001.11382101853,6078.50098076227,6076.03177528343,5953.4754197294,6099.741362327,6034.20909769443,5796.92501369053,6203.85772601906,6611.18093105409,6064.71018586678,5748.14096817753,7909.46723960147,5965.1461114018,6201.02543611008,6430.80241693502,6155.97878529003,6022.44813544702
,7,5506.9669324138,5930.32297488609,5295.57513912713,6250.42793532454,5838.34408912992,5721.86869053237,5887.08616602161,5982.65245212502,6078.2701167705,6072.71910270281,5950.05858173487,6104.01599980012,6032.7791901353,5792.04253679317,6197.42471435896,6604.16257600366,6066.53202857645,5746.58001158175,7910.74224270525,5965.73820234347,6198.10804275931,6431.85788886786,6154.7804867801,6014.44558326752
,8,5511.36055094908,5924.51281049393,5297.56372547316,6250.87046589536,5839.03472601371,5713.98732079511,5894.31829125334,5988.45532635458,6083.02618966068,6061.41110902193,5953.22533363547,6100.96689377966,6027.21677705967,5794.36463450972,6202.52007100016,6609.80376192445,6061.14670496071,5743.89211010779,7889.34274535264,5956.40888553152,6188.72330720795,6429.55648330842,6147.66446568667,6010.52879582456
,9,5509.1958718315,5927.46668093,5297.561037956,6249.44595088979,5843.11975376419,5723.50710081377,5896.94898429505,5998.3535531791,6084.20070013649,6062.5039240368,5955.48187045211,6105.10497822616,6030.43615781985,5792.93397748518,6193.61406355215,6602.19151767257,6068.29551210639,5748.90670420059,7906.41013240582,5957.6008541782,6192.54648195107,6428.75835387382,6154.65284481238,6016.3562311759
,10,5507.50570056614,5933.42406345241,5297.80397968523,6249.25390509284,5842.77094087788,5716.05582015577,5888.79957129411,6000.154233416,6083.13913769595,6060.12057926754,5956.35950163369,6103.5616202392,6026.66701041621,5789.17859165569,6196.66745625454,6602.76453598574,6064.43308360472,5742.07508143082,7893.78576929296,5955.26345967077,6182.96318239492,6420.81544796286,6149.86430398314,6017.28477410808
