,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,D09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,E09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,F09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C03,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C04,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C05,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
,C07,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,50,
