,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2470.00976274343,2540.19162576472,2443.42962564896,2585.03361133213,2513.28004784563,2501.91563465043,2525.10201319846,2530.38568677454,2555.93087617215,2558.54854940924,2518.53853249231,2562.92569719594,2546.98288387961,2490.28636146527,2565.65763951581,2617.96712573248,2522.33684441633,2499.36574605213,2554.98388491064,2530.50596827762,2551.08264354787,2618.50678384944,2560.19922128347,2522.98344097985
,2,2470.67348307197,2534.79712244848,2444.69671731013,2584.19943785186,2515.24886313044,2495.27705102101,2524.05263277943,2545.19107476482,2551.19128734093,2554.54042227262,2525.31799924004,2562.69676015513,2542.18565108568,2499.70123460184,2564.411295968,2626.52672865268,2531.91720068703,2492.86254082883,2548.98594491119,2526.95147094349,2559.11025665926,2620.52966267595,2559.75225712246,2531.90734064752
,3,2467.82404223134,2537.25423667843,2440.88703779047,2583.98138298113,2516.9495803565,2496.33403547545,2524.15893560128,2555.2664191485,2548.80797905608,2557.27719563082,2533.51249397642,2561.92226321419,2543.55388270436,2504.96080017167,2564.40080205967,2635.30972042451,2539.1418089487,2495.343905686,2558.0686846286,2532.4770914458,2559.32539945973,2623.84198494041,2561.18503998483,2540.40698774239
,4,2470.78660188154,2538.77960581169,2442.39444429393,2587.44247797571,2512.33444883497,2496.65001945757,2524.16783880399,2555.67015518774,2554.86584562778,2556.39337561565,2533.69879789488,2560.00299275972,2543.5135807913,2503.69349292655,2565.55011181187,2632.38945612845,2533.56821200063,2491.78534996534,2557.66878098582,2527.48412639126,2562.34091799729,2621.82384819117,2562.9045671655,2540.41170366534
,5,2471.20389058174,2539.6724928583,2444.50865144981,2587.52341030005,2515.02423354594,2500.78676018125,2526.66476517788,2561.15158508811,2549.23930154244,2555.85370626882,2541.48565704608,2562.72966819201,2542.96237935642,2504.82774668683,2572.33019997999,2632.38310604097,2542.68632224684,2495.55828490253,2554.0137939974,2531.00483452263,2559.86198880572,2623.66690052019,2562.78121580522,2539.57346198441
,6,2466.12360312252,2538.15687031328,2443.78916783071,2584.66973524777,2512.89089928598,2496.78290070816,2524.79731243874,2564.73716371041,2551.96513364474,2557.13125101193,2541.56439614058,2563.81256082016,2543.38876931608,2507.9142787051,2565.92983282906,2639.92462748102,2537.57345499179,2497.85980839721,2553.48571001371,2531.14036712087,2564.30271238763,2616.67320584995,2565.57455743868,2543.73111105424
,7,2467.46638046642,2536.33135008472,2443.04186628413,2584.34190801762,2512.92493944833,2496.02949789147,2523.77426241767,2561.93645887548,2548.73998990991,2558.55965276218,2545.30386416363,2562.40536263583,2540.74590687029,2508.19895445492,2566.32540528738,2638.32813322927,2540.35480264776,2496.91821000751,2558.47045747888,2531.13138854431,2567.03063290683,2621.13198055377,2563.72275389297,2538.62835759446
,8,2468.43752788461,2538.34681822268,2436.83063790922,2585.07885943133,2515.49152205684,2495.98170798161,2526.16098634925,2558.02261441116,2552.66833909121,2559.92646426431,2548.12492480934,2566.59768055721,2544.41227907621,2509.57307185426,2564.27838137125,2639.71059650486,2538.50425647106,2495.75495843622,2559.50636614277,2530.56642610474,2570.10597164068,2621.24166407766,2566.12780299408,2545.13151733903
,9,2467.55560339674,2536.02823879903,2441.26100639631,2586.79499738609,2509.40988482182,2501.85119651899,2514.62090066612,2560.87335781866,2549.40872413166,2556.38741436604,2542.97236221986,2561.34512802537,2548.29072846653,2508.92834363011,2568.37335439564,2640.39505098293,2537.7249709109,2498.31476936735,2559.26562747382,2535.5533652996,2567.00430687818,2623.4636148466,2563.49249651705,2544.57316938282
,10,2468.36705303967,2536.24458623822,2443.35032296482,2587.22436988732,2512.63137038995,2499.57840112703,2522.03732603433,2564.06811429629,2550.82503420794,2556.79433746194,2544.64300199783,2560.43971728856,2544.78168669839,2506.27861292247,2572.77104823711,2638.43681767919,2536.10036975142,2495.35780771488,2559.42268678987,2528.02702894494,2563.52769893917,2622.89711803399,2564.8171620948,2538.69414176764
