,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,HEX,,Unkn,,2461.07537220359,,Unknown,Unassigned,False
,C04,HEX,,Unkn,,2531.41792449114,,Unknown,Unassigned,False
,C05,HEX,,Unkn,,2434.19665688279,,Unknown,Unassigned,False
,C07,HEX,,Unkn,,2576.18080462038,,Unknown,Unassigned,False
,C08,HEX,,Unkn,,2507.50770860216,,Unknown,Unassigned,False
,C09,HEX,,Unkn,,2491.66157955917,,Unknown,Unassigned,False
,D03,HEX,,Unkn,,2514.89582433242,,Unknown,Unassigned,False
,D04,HEX,,Unkn,,2558.79599943962,,Unknown,Unassigned,False
,D05,HEX,,Unkn,,2543.61617950021,,Unknown,Unassigned,False
,D07,HEX,,Unkn,,2545.40827638397,,Unknown,Unassigned,False
,D08,HEX,,Unkn,,2540.67347828042,,Unknown,Unassigned,False
,D09,HEX,,Unkn,,2559.74449120223,,Unknown,Unassigned,False
,E03,HEX,,Unkn,,2535.37067564088,,Unknown,Unassigned,False
,E04,HEX,,Unkn,,2502.21341402616,,Unknown,Unassigned,False
,E05,HEX,,Unkn,,2561.43412337257,,Unknown,Unassigned,False
,E07,HEX,,Unkn,,2634.00214868215,,Unknown,Unassigned,False
,E08,HEX,,Unkn,,2533.09297216562,,Unknown,Unassigned,False
,E09,HEX,,Unkn,,2488.47916969717,,Unknown,Unassigned,False
,F03,HEX,,Unkn,,2553.25240764774,,Unknown,Unassigned,False
,F04,HEX,,Unkn,,2527.22606884072,,Unknown,Unassigned,False
,F05,HEX,,Unkn,,2561.36752209071,,Unknown,Unassigned,False
,F07,HEX,,Unkn,,2616.22829137166,,Unknown,Unassigned,False
,F08,HEX,,Unkn,,2557.8524123858,,Unknown,Unassigned,False
,F09,HEX,,Unkn,,2535.36228803473,,Unknown,Unassigned,False
