,Well,Sample,Call,Type,RFU1,RFU2
,C03,,Heterozygote,Auto,2842.70459630016,2457.59577775101
,C04,,Heterozygote,Auto,2821.32647929112,2516.15058817437
,C05,,Heterozygote,Auto,2739.66429726004,2431.87911242532
,C07,,Heterozygote,Auto,2919.60159623471,2561.1186960048
,C08,,Heterozygote,Auto,2837.70361038359,2502.15126094092
,C09,,Heterozygote,Auto,2831.73427352472,2481.63162497165
,D03,,Heterozygote,Auto,2840.90048824972,2493.62959161162
,D04,,Heterozygote,Auto,2952.02486761142,2446.0323543931
,D05,,Heterozygote,Auto,2891.76216347892,2525.93206920898
,D07,,Heterozygote,Auto,2879.69313003991,2520.39124556742
,D08,,Heterozygote,Auto,2945.40185551869,2443.11478921271
,D09,,Heterozygote,Auto,2925.55900433064,2530.33547451192
,E03,,Heterozygote,Auto,2907.68075488103,2498.71492343175
,E04,,Heterozygote,Auto,2956.42804812541,2395.74122821714
,E05,,Heterozygote,Auto,3166.08660583557,2523.9077251566
,E07,,Heterozygote,Auto,2989.32891360059,2528.28789538238
,E08,,Heterozygote,Auto,3077.13236827626,2424.29573865762
,E09,,Heterozygote,Auto,2810.63622555188,2462.78307396608
,F03,,Heterozygote,Auto,3022.80636008878,2505.60009376383
,F04,,Heterozygote,Auto,2955.0710473534,2481.63261724474
,F05,,Heterozygote,Auto,3047.58830160196,2465.60469960603
,F07,,Heterozygote,Auto,3119.76238535173,2564.64629094444
,F08,,Heterozygote,Auto,3028.64771108225,2512.82328526385
,F09,,Heterozygote,Auto,3014.05003992448,2445.46121063219
