,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2824.44719537604,2811.57624286707,2735.42611254695,2914.3341133699,2832.74659987789,2802.01698827078,2823.54462264519,2867.66512911754,2857.53195976938,2872.25605628202,2879.40165326002,2883.72189672749,2884.57381520405,2842.81649286645,2895.16700675366,2935.09715915613,2914.63614600899,2777.31950193402,2949.55400376798,2915.42350305309,2940.85023702403,3049.9764893064,2980.51110490237,2919.08271662337
,2,2831.95260689774,2822.29441157912,2738.57561461837,2923.59331860402,2840.94719413486,2803.44798344492,2836.55591308606,2873.94725618854,2862.01419531529,2877.88862723205,2884.30248788593,2889.82818161466,2895.01925205231,2851.64006587506,2905.72492579822,2950.32189206648,2930.76467419581,2785.68572257187,2974.73676787724,2944.56870316589,2963.56291781546,3083.32543794061,3006.44384066749,2944.31623960336
,3,2830.22341143968,2822.08440323075,2741.19475360282,2923.23146404249,2838.01337930558,2809.66015930264,2833.00618459035,2873.65563003997,2863.85984130571,2884.04893729186,2886.25944967434,2891.03748917868,2905.62708417537,2861.05948705164,2918.54904462933,2955.38959494939,2942.33899781771,2790.77905173587,2978.04645312799,2941.61094909197,2967.58181129763,3082.74568814757,3017.95724359831,2955.88716795858
,4,2830.22693236735,2825.81920010616,2740.33683818533,2921.18977065781,2842.27740402364,2805.98413740744,2836.55391070655,2877.36671378546,2869.06247693246,2879.97010264384,2889.90515205295,2893.42389517585,2905.6440616721,2856.37955424393,2916.51474321609,2951.52656925463,2938.68728231086,2792.4856781608,2977.18357511477,2942.66891508828,2969.10103171726,3085.87317701104,3011.48065741827,2951.16954886392
,5,2834.09318853333,2822.994907383,2742.3796994102,2924.37477973477,2836.76982681835,2810.38147727894,2837.81001434139,2877.58126748121,2870.50736218019,2879.6312429284,2889.08040711962,2900.03899766772,2902.5539109691,2857.78529363381,2917.09566510594,2949.47256004282,2938.45678882066,2790.92364679577,2977.0032886568,2944.20807830189,2968.64266017634,3084.39157271198,3013.6011258149,2953.81953243804
,6,2833.00352995991,2822.27016970847,2738.39170723023,2923.98806998465,2839.11272826044,2810.34047299254,2831.67956302893,2877.90080834161,2871.30395461509,2885.08109714993,2890.83818047417,2893.16111387372,2903.65039351887,2865.88980700361,2913.40407309512,2951.31011241924,2944.14594417688,2792.88230239423,2979.6889913283,2938.3618018896,2968.59588508582,3085.65856799851,3013.58992278579,2950.19754088436
,7,2831.43350985212,2820.58415137777,2743.06981525269,2928.08298574721,2838.33183991982,2810.28598750884,2833.58164801896,2885.9603524534,2872.184528574,2886.28920406607,2890.51649016141,2894.42966694026,2904.39243113791,2862.11079278716,2916.40945197394,2948.92015529764,2937.92171397588,2794.73603002386,2977.71925735205,2942.77954640711,2968.49859747318,3085.01896404944,3014.62653324581,2953.10067198721
,8,2830.85773149717,2818.91493822562,2740.82766026582,2928.39680382925,2839.09038333197,2806.07390141562,2838.32299264715,2874.6230795765,2869.80373097257,2890.23729579133,2889.82350366245,2893.84240623527,2904.4163248289,2861.05482997295,2919.38453457262,2953.97300445326,2939.99448007651,2791.164136598,2975.90547001017,2945.15188482021,2967.70890975599,3084.17196323463,3016.17701269512,2952.49029050409
,9,2831.87650296881,2826.85367181163,2740.69691749609,2927.56349028421,2837.52465016887,2811.31164629917,2832.92767340698,2878.23473354485,2869.52671320422,2886.43807825971,2889.82665764388,2898.32328207777,2901.82381280468,2856.13157182913,2918.40775178116,2953.03999971986,2938.97691691956,2789.37536012963,2976.56246532016,2941.7670246874,2968.71559065294,3079.25078427875,3015.98254241832,2953.89838942122
,10,2833.72418817017,2822.66136580341,2741.78511400843,2920.92835604523,2836.33827374983,2810.47240686066,2837.49637394568,2875.03417368473,2872.9818820911,2888.8733233589,2891.18968770901,2898.24175086175,2901.82549529483,2861.57043948024,2917.86427989845,2950.83321641303,2938.58121419432,2792.59159422848,2977.99382862788,2941.34480113054,2969.53562149347,3080.67793752449,3018.42743260959,2947.7091985237
