,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,D03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,E03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,F03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,C03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,C09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.1,
,D03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,D09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.7,
,E03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,E09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,41.9,
,F03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
,F05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.5,
