,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,5491.99155397441,5866.44071904763,5268.83345874974,6175.39447200331,5766.08912115521,5639.48960455659,5775.70790849918,5818.05670433527,5943.14098663613,5943.72100497351,5770.4089562626,5945.75657982029,5886.49503559307,5643.7119733852,6025.77457438342,6444.71781248666,5881.48479013839,5601.6971767271,7581.78328007348,5783.0306948962,5986.56249006106,6259.3735593151,5916.45456169133,5848.16477289542
,2,5519.69841081413,5905.87400052367,5280.91890255006,6210.15715141558,5811.83277335339,5679.14983838839,5812.94486115027,5848.46742458434,5983.2331502629,5972.35761166654,5794.92729699861,5981.85432443411,5958.87107486381,5704.84722826994,6088.37280462959,6540.67174123335,5954.83619646511,5658.66260293843,7839.21627219573,5920.44937287956,6132.32920318918,6409.7925895142,6070.25960571057,5960.26076121541
,3,5524.5141483022,5906.18899462993,5279.20339007879,6222.39440094667,5815.6241117444,5682.85357161115,5827.06360003458,5857.91679566241,6002.23277403515,5986.90820113224,5814.96017229265,5992.70104446209,6002.73533142686,5755.63399947535,6137.72172348253,6561.6685844235,6008.06803219102,5707.87807481,7845.96909837478,5928.40711036433,6160.24700973423,6409.29988569044,6116.28463411778,6011.37506668689
,4,5521.80026539748,5902.20349055568,5287.72683277203,6215.94772400996,5810.15544296094,5682.25724570414,5840.74933105785,5869.0544492046,6005.14914151508,5986.69162710211,5823.49841106809,6008.18112544865,5999.47063868373,5750.94240613296,6144.03474282063,6548.99061930548,6006.72259329283,5710.37398129068,7851.72632834622,5919.81745440649,6158.99492691241,6408.69912186954,6109.46293286469,6007.41666821529
,5,5526.27866281137,5898.99568932104,5290.15885475632,6219.50753150353,5812.16401185548,5683.64127601845,5837.80040656125,5876.02153198697,6017.97936882103,6004.94224502549,5829.46799528867,6016.00287684337,5993.10013243715,5746.552436153,6145.44292764032,6555.61092038488,6004.23667359652,5709.22529184058,7847.15074046093,5916.8125150091,6159.39729190418,6406.77713519436,6108.580848343,6009.23033683154
,6,5516.27056554647,5895.84157098712,5284.51752190125,6217.12964358091,5809.17664037021,5678.64909358726,5838.05242961755,5880.10485179625,6011.48162071025,6009.99696064792,5830.02141568344,6022.39103258291,5993.50830629011,5746.75521310758,6141.86619527378,6553.04619595377,6002.50892983428,5710.12341558166,7837.74449765458,5917.62036172055,6153.09675554199,6397.83402557295,6104.91850307822,6006.88694180223
,7,5510.52505268596,5898.68143077717,5289.36776739358,6220.4942581886,5812.93069225827,5682.62404194544,5839.61242851563,5886.30280919206,6019.49530208471,6014.63272628162,5836.41764532912,6026.48248688103,5998.79072284988,5748.29906360863,6139.81693574073,6558.03032718095,6007.78065866067,5709.60617252172,7833.61156916369,5919.52354783195,6157.32999600732,6411.02730203662,6107.55719105373,6012.6044185536
,8,5517.81494831336,5894.46898176398,5289.73549524816,6213.77453636097,5805.82790151029,5678.23095622986,5832.11897743723,5873.99917209485,6014.31360164978,6015.63231689871,5831.03677125421,6022.81694140206,5996.24075869367,5746.65361360559,6141.23550456948,6553.46271419101,6003.04779287049,5710.04898526362,7835.70904306411,5921.53572256337,6154.33308105993,6403.28373164734,6104.95569983992,6012.05956361313
,9,5520.82514654263,5898.64584746792,5281.46667153818,6219.15313576013,5807.08294051984,5680.63487222274,5840.0362497591,5882.83106753087,6015.44350076087,6010.19880921392,5835.46234947016,6026.02804441355,5994.8642158866,5752.74456786256,6134.43339972137,6551.68115653641,5998.53506484272,5711.40855328453,7834.79759445275,5912.46556914809,6140.99217427235,6396.59718804215,6106.19064353847,5992.02346371978
,10,5515.13043990285,5895.99277611464,5288.76942742186,6211.55101449167,5804.56485556458,5677.74910413462,5830.05064525507,5873.05849360801,6012.27770072139,6016.51969688467,5827.66641129815,6016.16877461754,5995.06051137457,5746.12016904676,6137.07852312372,6552.78113182837,6000.74005507068,5706.57635893797,7829.7169891476,5918.64425394397,6149.85066610096,6394.94454248251,6100.13096079209,5990.57943294669
,11,5515.39612231488,5898.17475914759,5286.82673626464,6216.28278195235,5805.30021768495,5682.05210422599,5828.87233232302,5887.40800357046,6022.35157348515,6006.19468259736,5833.46123641779,6006.3754200665,5991.70280699102,5747.20175085924,6135.25149613403,6552.120619662,5997.8571457246,5705.36302138827,7830.26144690655,5916.94328979327,6158.42989720375,6400.73390521733,6101.59273876419,6003.65445169449
,12,5513.80476098273,5895.967675722,5279.94087994471,6216.34320433355,5806.13186472796,5678.07790585927,5834.46830036198,5876.95762008653,6014.14898183184,6009.93728417777,5832.20388539855,6016.49848080932,5993.88755224809,5741.26716526441,6132.90476984819,6547.01603808788,6005.58062919656,5709.28890937647,7841.26431096893,5914.83044097538,6149.15789189151,6398.13316399309,6103.51632157683,5989.8604863909
,13,5517.07766238055,5895.45428771761,5290.40199862518,6216.48218457415,5808.33028820542,5678.64654684028,5834.77107981142,5875.99317140141,6020.92114793087,6008.54985852443,5825.24432237481,6021.79319907786,5992.59943687172,5742.02632664136,6138.3754359614,6550.41865420406,6006.16019570568,5709.40228262415,7829.38154614431,5915.86527935682,6149.36289160964,6396.80750965393,6101.77017156753,5994.68704724616
,14,5521.16852194865,5893.60363884125,5290.76049157339,6216.14568187288,5808.45368748427,5682.80233107017,5839.23527185169,5887.15409860412,6020.95424815676,6011.87885896602,5837.20703842605,6021.44880088295,5994.67678415123,5744.81949567366,6138.52154855382,6554.04847514721,6000.32233510068,5710.27880448169,7837.73683760391,5919.4793822917,6156.90451132144,6400.07668517847,6103.96169629454,5999.65657425587
,15,5516.16967629004,5895.99198011373,5284.71576429511,6210.00092628501,5808.45336704425,5681.19611279151,5837.90984460209,5873.4665548986,6009.30170121341,6007.32706711071,5833.88766599866,6015.8971006402,5982.95266275613,5736.89934920203,6129.4082786957,6542.40459430057,6002.17718824836,5708.05810963327,7820.40710352519,5916.94232105288,6139.93806980133,6390.08440756303,6089.1488196805,5996.91814933732
,16,5507.02470431938,5893.30196706226,5272.19117050452,6209.32918774532,5803.26184971858,5677.50508653379,5834.32219738587,5870.68636728402,6004.10347165055,6003.87562143429,5830.56121134597,6013.51502596173,5982.08930525628,5739.99720096673,6131.01589684447,6543.33484229126,5997.52961543994,5697.56267269539,7822.37748508733,5912.86588123941,6150.68601969033,6386.48501552892,6095.99594099887,5998.76717510944
,17,5507.63691099168,5894.42073136789,5283.84837266557,6209.86925259711,5805.19175841862,5681.8888037299,5838.67997512946,5880.53148041954,6012.67093652601,6003.34467740998,5831.15099108548,6014.96825933219,5987.56354977272,5745.66066882382,6137.47842880238,6546.63029810283,6000.4037021584,5709.11782591629,7834.3278811613,5922.22235986584,6154.68036146295,6394.76775477765,6096.70459659271,6004.84552957508
,18,5513.73501418917,5889.76145275287,5287.57965004123,6211.17555918758,5800.59190832989,5677.3211634318,5823.50806459693,5874.93285799263,6007.63121239343,5999.61883341538,5825.47205137342,6016.30363012334,5978.46953712984,5737.04731726834,6132.77989063292,6540.9163266638,5993.18280932108,5702.58621031944,7820.5793130208,5907.22410074653,6137.15792993062,6388.84898854938,6089.88484139835,6000.11962532014
,19,5509.78809866449,5895.40482938682,5288.9656550477,6215.48442214942,5807.7317920408,5677.05862097654,5841.60282695387,5881.48689686723,6018.79909423945,6007.14688473637,5830.25988952473,6019.85050733806,5987.92169886211,5744.5868087026,6138.90499410927,6547.76357849173,5996.92001480618,5708.58257321582,7826.32506861456,5914.81875265532,6144.78883550345,6396.32716850012,6103.02256858717,6001.48293164489
