,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,HEX,,Unkn,,2457.77099645457,,Unknown,Unassigned,False
,C04,HEX,,Unkn,,2518.76220390655,,Unknown,Unassigned,False
,C05,HEX,,Unkn,,2430.98968584586,,Unknown,Unassigned,False
,C07,HEX,,Unkn,,2564.62440565989,,Unknown,Unassigned,False
,C08,HEX,,Unkn,,2498.42493155089,,Unknown,Unassigned,False
,C09,HEX,,Unkn,,2481.06162100116,,Unknown,Unassigned,False
,D03,HEX,,Unkn,,2494.15344816793,,Unknown,Unassigned,False
,D04,HEX,,Unkn,,2466.73346156812,,Unknown,Unassigned,False
,D05,HEX,,Unkn,,2522.28367629916,,Unknown,Unassigned,False
,D07,HEX,,Unkn,,2522.51298728207,,Unknown,Unassigned,False
,D08,HEX,,Unkn,,2461.87772678738,,Unknown,Unassigned,False
,D09,HEX,,Unkn,,2530.73493048715,,Unknown,Unassigned,False
,E03,HEX,,Unkn,,2502.67813335185,,Unknown,Unassigned,False
,E04,HEX,,Unkn,,2411.40058812243,,Unknown,Unassigned,False
,E05,HEX,,Unkn,,2520.92687027571,,Unknown,Unassigned,False
,E07,HEX,,Unkn,,2550.89481032658,,Unknown,Unassigned,False
,E08,HEX,,Unkn,,2430.6624173811,,Unknown,Unassigned,False
,E09,HEX,,Unkn,,2462.78918998014,,Unknown,Unassigned,False
,F03,HEX,,Unkn,,2505.34671091066,,Unknown,Unassigned,False
,F04,HEX,,Unkn,,2485.32454637861,,Unknown,Unassigned,False
,F05,HEX,,Unkn,,2482.20427930485,,Unknown,Unassigned,False
,F07,HEX,,Unkn,,2568.15219799782,,Unknown,Unassigned,False
,F08,HEX,,Unkn,,2512.08679917497,,Unknown,Unassigned,False
,F09,HEX,,Unkn,,2462.90208467245,,Unknown,Unassigned,False
