,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,ROX,,Unkn,,5465.19790342683,,Unknown,Unassigned,False
,C04,ROX,,Unkn,,5878.29834378405,,Unknown,Unassigned,False
,C05,ROX,,Unkn,,5245.07425455019,,Unknown,Unassigned,False
,C07,ROX,,Unkn,,6188.39834375098,,Unknown,Unassigned,False
,C08,ROX,,Unkn,,5787.24383385615,,Unknown,Unassigned,False
,C09,ROX,,Unkn,,5668.41275188894,,Unknown,Unassigned,False
,D03,ROX,,Unkn,,5806.05122875734,,Unknown,Unassigned,False
,D04,ROX,,Unkn,,5887.87953096811,,Unknown,Unassigned,False
,D05,ROX,,Unkn,,5989.95056555176,,Unknown,Unassigned,False
,D07,ROX,,Unkn,,5965.69437261156,,Unknown,Unassigned,False
,D08,ROX,,Unkn,,5843.80889310308,,Unknown,Unassigned,False
,D09,ROX,,Unkn,,6009.56070558074,,Unknown,Unassigned,False
,E03,ROX,,Unkn,,5957.37636310655,,Unknown,Unassigned,False
,E04,ROX,,Unkn,,5723.16341403372,,Unknown,Unassigned,False
,E05,ROX,,Unkn,,6120.45579479781,,Unknown,Unassigned,False
,E07,ROX,,Unkn,,6530.3597740919,,Unknown,Unassigned,False
,E08,ROX,,Unkn,,5985.68952409529,,Unknown,Unassigned,False
,E09,ROX,,Unkn,,5682.53381301275,,Unknown,Unassigned,False
,F03,ROX,,Unkn,,7776.37208066784,,Unknown,Unassigned,False
,F04,ROX,,Unkn,,5884.80226582339,,Unknown,Unassigned,False
,F05,ROX,,Unkn,,6127.61523512697,,Unknown,Unassigned,False
,F07,ROX,,Unkn,,6358.53888200707,,Unknown,Unassigned,False
,F08,ROX,,Unkn,,6073.43887515479,,Unknown,Unassigned,False
,F09,ROX,,Unkn,,5951.49460145625,,Unknown,Unassigned,False
