,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2467.18654432677,2520.12493784007,2437.94702811687,2574.48699543246,2499.62353022715,2482.39820820953,2496.88855317933,2525.95378338922,2517.65447443368,2524.64485309649,2506.61789548197,2527.52276058711,2504.4370236857,2464.84772869884,2525.76606165387,2597.33540337571,2496.47261501269,2458.11193670415,2502.54511938613,2484.14597828489,2513.38079161749,2565.58340336547,2504.86605452743,2490.54182347766
,2,2471.4038938079,2526.67703823451,2443.57074637703,2575.18701458857,2502.9127953982,2486.2574227928,2501.56500609867,2527.51788340166,2524.59378462377,2529.09170988842,2511.33689993119,2531.95087225846,2512.7053373609,2477.70880711573,2537.14998360986,2608.10844466659,2504.32007218547,2467.64130800628,2528.05909839099,2498.13139897585,2528.27170873284,2587.12500457197,2524.86146035796,2508.67783563494
,3,2470.90269233579,2528.27764766342,2436.57293985454,2578.77045936659,2505.07639662277,2488.19570221388,2504.79529614472,2532.82803513681,2526.8791231871,2531.37307511887,2513.96488438197,2535.55348824667,2516.06174718968,2483.83788204155,2535.96793485413,2604.24273122003,2508.37721780196,2472.34933335434,2526.43624805277,2497.10577031987,2529.54363391687,2587.78417028299,2529.65455645187,2516.85480022366
,4,2468.65759830125,2525.34679086523,2441.12850192569,2575.98010249223,2505.13974284127,2484.74167443603,2502.77077768006,2531.35972541725,2524.76885234865,2532.33766431047,2516.53821672505,2534.81433721403,2513.73769938427,2483.0688506432,2534.2095429484,2607.99590585163,2509.51407751582,2474.23466231623,2526.66496767821,2499.73046139462,2535.81391249239,2588.81951903494,2531.4940824021,2514.93084845416
,5,2469.4212665166,2524.88829366596,2442.24724260604,2579.08286553595,2504.76388454033,2488.91438088949,2502.34364290754,2534.83153835349,2529.34485959528,2532.26426518634,2516.16708517241,2535.13312893392,2518.96289397971,2483.82526962729,2539.13791744091,2602.59645486785,2512.64513236594,2470.43928022961,2524.75903874341,2498.26209116956,2532.317868926,2587.63485885983,2531.69510599034,2514.09660991337
,6,2471.40392438266,2525.29162428001,2442.2728662982,2579.5409705335,2505.64046785472,2483.78720549159,2501.94957550238,2533.87447178484,2525.60609634252,2530.78932629804,2516.63173905992,2536.71853333986,2519.88990921899,2483.55604513449,2537.99364832617,2610.8298885076,2508.1693606123,2469.72764082506,2527.64513895813,2503.89215950935,2532.89197601554,2587.4112593067,2529.88477829357,2517.28562606764
,7,2472.02585087163,2526.58057518016,2440.98808642534,2578.66203128349,2503.0864757134,2487.33464481487,2509.51457108265,2534.3422170472,2525.0952302723,2537.02294141806,2517.40249062775,2537.02918412844,2512.68549697136,2482.34073665182,2538.88430856349,2607.59842863148,2510.77927848479,2471.46434679774,2528.91946451654,2498.13202514282,2528.02093525481,2589.16752130948,2530.54488252875,2515.35029684033
,8,2471.88412629888,2527.9453142986,2443.42367553869,2581.15343804837,2501.11465160408,2487.1423028965,2508.18543513484,2532.47044076231,2525.85979434918,2536.37705716136,2516.14224392206,2536.4676140224,2519.15177550311,2479.97009170275,2541.35254895068,2608.62319206975,2509.20341420388,2471.50384235702,2527.81664775495,2504.02944620358,2534.87527037988,2586.51372884401,2529.37702538427,2513.05286935707
,9,2470.00948186387,2522.40020553356,2437.69368264726,2578.31121360081,2503.1792217025,2484.91726895377,2508.70565391008,2533.29744425717,2526.90950884012,2534.33479622826,2518.0228131435,2538.3759836906,2513.94960034161,2479.68653946584,2537.45492937465,2608.12419700162,2509.3171358249,2476.22838608316,2527.40391230358,2500.50299514409,2525.47102789729,2587.41694473051,2528.61697975272,2510.48113054789
,10,2474.0989124365,2524.55198334865,2441.14157734004,2577.15973642752,2503.32437348906,2487.14194718072,2508.57301958454,2535.48758088696,2526.65019122548,2536.35631611049,2517.71506833314,2534.58179666762,2522.79774201795,2479.83243146516,2534.82190512953,2609.08292701106,2510.48794599392,2476.84135551038,2524.24235244281,2500.87095862142,2525.94842354825,2583.08045221212,2528.80488142721,2514.15898028925
,11,2470.3591473596,2527.77891139023,2440.51836849171,2579.80301164335,2505.44384149511,2484.10162757242,2507.16430973584,2532.69118386997,2532.31323071651,2534.12482033384,2516.82873414602,2532.99120113271,2521.74110757021,2482.3189992453,2538.46005183121,2606.72509239787,2510.89016011746,2474.66473034896,2526.74199421825,2498.20868150132,2524.32552309095,2585.08971038886,2527.73598561908,2510.85257585929
,12,2468.93330590517,2523.94237088343,2440.47648864402,2580.40308139553,2501.1041070751,2487.63661858313,2504.72445512745,2532.30634246897,2530.81539441267,2533.22534601855,2512.42466702285,2536.90460715758,2516.67131313701,2479.61518531033,2534.2061604189,2605.71102910631,2511.44495121608,2473.93377783055,2528.173616054,2498.96908506368,2529.06182417897,2582.44734037023,2530.25683303647,2511.9384954419
,13,2469.34524797148,2523.71153208388,2442.20287552163,2577.09491743709,2505.92147172903,2487.17043518912,2507.69491946538,2534.54669582255,2530.72222864304,2535.54371885781,2517.64750590574,2540.11127851088,2516.87917525186,2482.61520100092,2536.07174393564,2606.41212032208,2510.94129288382,2471.68203890961,2524.66882267375,2497.52496311363,2531.56896499239,2590.1181760705,2530.49802020304,2515.18194538479
,14,2471.36223029053,2527.28616179907,2441.2157516939,2582.10484811977,2504.43929176187,2490.58942890297,2500.09459811312,2531.07486191648,2526.93634383099,2539.33695506216,2518.04877091763,2539.85254973591,2515.90679753251,2482.73641802958,2533.27813514364,2605.04153201945,2507.62264096406,2471.55946915458,2519.28818922009,2503.37666622432,2532.51718567275,2588.34232927996,2531.7189832594,2516.41962793751
,15,2462.08972388145,2528.58790139893,2440.21838601446,2576.93135835049,2506.88715418328,2486.96128623348,2507.06523065013,2530.84743618562,2524.5551269509,2533.65896001356,2514.33680442026,2534.14405851709,2518.98349793548,2481.80767820529,2534.62663296126,2606.73422027754,2508.26200805738,2474.91693288592,2525.84994013027,2498.28652851604,2534.14985575713,2586.52332445462,2528.50781062596,2513.04990857881
,16,2468.64896065253,2522.35694406955,2440.62063011508,2572.60262411912,2506.38288568279,2482.9703377432,2507.15842954854,2530.00230386582,2526.55089973273,2534.12237446077,2513.0814112624,2538.95512597721,2514.42078926269,2480.85469883018,2532.12810708403,2604.9184294442,2510.64360821143,2475.22932457307,2526.96875660491,2498.24535380789,2527.60910105389,2583.78422700932,2527.79777237161,2513.57410415112
,17,2469.98752305227,2524.30908937673,2437.60625080772,2578.45256705816,2502.99629341643,2485.4455318986,2507.21227189908,2530.13263645523,2530.30910156541,2532.01645181277,2518.61606867024,2535.57110154585,2512.5190895491,2479.81464821746,2539.08760844864,2605.24194295775,2513.91633091728,2472.00561588461,2518.53684809885,2497.28346105227,2532.24158850841,2583.57112542645,2529.78945921144,2513.51520136307
