,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,FAM,,Unkn,,2848.56913235894,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,2823.19099180484,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,2740.18881333642,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,2921.9897695071,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,2838.66974182736,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,2847.79261238789,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2847.15921877189,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,2926.45961122684,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,2903.79972497889,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,2881.01969639152,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,2924.944281448,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,2947.74625192727,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,2905.27686600864,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,2919.74685640921,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,3219.82925138348,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,2972.52166043416,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,3025.34348929438,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,2821.67699967447,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,3036.39018929293,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,2957.37568132023,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,3016.91732765764,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,3133.01127035392,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,3028.48329240945,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,2987.76629522722,,Unknown,Unassigned,False
