,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,HEX,,Unkn,,2444.53510017098,,Unknown,Unassigned,False
,C04,HEX,,Unkn,,2487.77838263863,,Unknown,Unassigned,False
,C05,HEX,,Unkn,,2421.25560118174,,Unknown,Unassigned,False
,C07,HEX,,Unkn,,2561.53543155045,,Unknown,Unassigned,False
,C08,HEX,,Unkn,,2479.17645964773,,Unknown,Unassigned,False
,C09,HEX,,Unkn,,2481.31808241645,,Unknown,Unassigned,False
,D03,HEX,,Unkn,,2487.21902137007,,Unknown,Unassigned,False
,D04,HEX,,Unkn,,2524.58607895304,,Unknown,Unassigned,False
,D05,HEX,,Unkn,,2520.90180608198,,Unknown,Unassigned,False
,D07,HEX,,Unkn,,2503.9983875293,,Unknown,Unassigned,False
,D08,HEX,,Unkn,,2498.07549716592,,Unknown,Unassigned,False
,D09,HEX,,Unkn,,2534.25648954691,,Unknown,Unassigned,False
,E03,HEX,,Unkn,,2484.10921744699,,Unknown,Unassigned,False
,E04,HEX,,Unkn,,2416.52308454621,,Unknown,Unassigned,False
,E05,HEX,,Unkn,,2527.34950665725,,Unknown,Unassigned,False
,E07,HEX,,Unkn,,2534.88275071851,,Unknown,Unassigned,False
,E08,HEX,,Unkn,,2449.37709602021,,Unknown,Unassigned,False
,E09,HEX,,Unkn,,2461.97283337988,,Unknown,Unassigned,False
,F03,HEX,,Unkn,,2510.25120439408,,Unknown,Unassigned,False
,F04,HEX,,Unkn,,2483.62293057295,,Unknown,Unassigned,False
,F05,HEX,,Unkn,,2492.74497951939,,Unknown,Unassigned,False
,F07,HEX,,Unkn,,2570.87523201565,,Unknown,Unassigned,False
,F08,HEX,,Unkn,,2508.29120747728,,Unknown,Unassigned,False
,F09,HEX,,Unkn,,2465.78176859265,,Unknown,Unassigned,False
