,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,11,2825.25400557029,2818.07133964131,2733.13631736351,2915.28586560948,2836.54998696309,2806.05934418972,2826.93567801342,2885.30068009605,2867.58325898413,2872.57052711359,2895.18526508961,2892.35572267288,2893.43541968589,2860.16652904641,2917.31621716989,2943.72550241811,2939.13424166837,2786.58443370301,2967.67340199662,2935.99929759849,2966.95375766827,3074.04139174903,3017.93753729134,2938.01907596263
,12,2823.80828616595,2821.22854080513,2731.03618010848,2911.54451981296,2836.17374896491,2804.23019665365,2831.7805766902,2890.71432396433,2866.4252009019,2874.54754069156,2893.53035052533,2895.49707430687,2893.19175488583,2853.50520989581,2915.37411754292,2944.26507401908,2936.51661291396,2784.61903327426,2966.29270004599,2937.68122380001,2965.7568996207,3068.81837342841,3016.83921552018,2936.55442409368
,13,2819.80038792818,2818.18878674741,2731.12331878628,2910.80911447814,2833.3709226338,2807.20385715462,2829.72189137983,2888.22865122692,2867.40224947926,2872.22201534023,2896.36818213474,2894.38549610512,2895.24305027848,2852.31971489732,2910.27786372443,2942.37302542917,2937.38187900974,2787.60704384724,2971.17989927653,2934.18090692938,2961.24497423596,3070.25482496936,3015.59315300928,2939.34511344909
,14,2820.93287577934,2819.10753747265,2732.79859058691,2917.54835194414,2836.56351470879,2805.80599868596,2826.73304463127,2884.77163103423,2868.18883153404,2872.41113602592,2896.7976481695,2895.78317304603,2893.6283083299,2853.36806396013,2914.8144757703,2944.12759703381,2938.63578603723,2787.41565119526,2966.4185807629,2936.55153425529,2965.54951136583,3067.73414405946,3013.35691622473,2937.13569980777
,15,2822.19692577475,2818.49585541397,2731.22812119875,2913.71039962955,2837.83596227028,2804.28668024699,2832.77051627851,2886.18952672177,2869.68623853563,2876.06472527524,2895.58243104132,2893.55059703561,2893.09445393868,2858.65938295238,2914.44465813916,2943.74141776733,2936.84605133874,2784.85680397548,2967.88996516953,2937.55835032036,2963.61082333871,3071.24708548875,3015.25721342992,2938.74088982768
,16,2826.77097831988,2821.69173684523,2733.02317591879,2912.16896860789,2834.32420351409,2805.52763650249,2829.26133677665,2886.21733925398,2868.54827955667,2878.99688712347,2895.76225887041,2894.35968348308,2895.37314160816,2855.34770693534,2912.19618198811,2941.23917023703,2935.79549092199,2784.02956603457,2969.92189780124,2936.51150978651,2966.74741477974,3067.21446783919,3014.50064128693,2936.57587786935
,17,2824.75001963036,2818.87060476013,2733.24895561787,2912.96481667481,2837.2313757746,2806.93371105006,2829.37148387696,2887.56673970386,2868.78524128874,2874.4040184359,2895.39692516847,2894.7662754999,2888.76334212112,2855.05276882723,2916.72790393926,2941.6558953984,2936.53901288068,2785.32400500271,2966.75618234939,2936.10394101899,2969.53473651341,3068.8455453814,3013.36027516457,2938.29507535584
,18,2822.79047115726,2817.16630692328,2733.9950821154,2916.53646461654,2836.84118845471,2805.15011972315,2829.53470821913,2888.94060927121,2865.76030001154,2875.24454376193,2891.87005597448,2896.71987388999,2892.93104048817,2856.73490942072,2918.03088861966,2941.92269713716,2938.17737679954,2784.91202285931,2968.28960909459,2935.81740519148,2966.73584327034,3068.56885910787,3016.94397421997,2942.47951994277
,19,2822.52579165038,2820.69259489394,2727.36765992324,2916.62478343671,2836.84113789554,2806.85634853069,2826.99869458651,2886.01760596259,2866.58070637846,2875.17383985095,2897.4500131048,2894.26630346804,2893.36326177793,2853.8734520011,2920.36618895569,2943.75008082391,2935.57948126743,2788.77624107112,2971.47045543776,2936.99388361659,2966.05531360178,3068.97642551328,3013.19567648731,2939.41671695384
,20,2824.43523934225,2819.52720721132,2729.62737008764,2915.33648723614,2838.39196233527,2803.84085407959,2827.78928503231,2883.4692279164,2863.55411574835,2871.52244609097,2894.13239556574,2891.7331537481,2891.96614361794,2848.01985879357,2917.08371445406,2942.849277583,2937.25935870053,2785.19190946615,2967.40074215431,2936.36676041342,2963.86096780487,3067.35101407115,3014.65098845665,2939.65496986678
,21,2825.47730921785,2818.49332238718,2737.28284209685,2915.5544712421,2837.74574736154,2806.70901946143,2828.48503855808,2889.28535385112,2869.31424939423,2871.25299847422,2891.91083310157,2893.05287047531,2892.10185580946,2854.89702441314,2911.525054209,2945.2177933061,2940.05244751172,2788.62171856296,2967.83748908618,2935.51345100385,2964.05709370673,3065.88165453271,3013.60768008788,2933.09250966305
,22,2830.27615388179,2816.15905346376,2731.46245897758,2912.48035282634,2837.77378571854,2803.96136445975,2826.04080518086,2887.33199137161,2864.2099585132,2875.28395680026,2892.59933594865,2895.85682802655,2890.46370228656,2859.08054973143,2917.21368755463,2944.18360773843,2935.00638293071,2794.77698778498,2966.48958053308,2937.99092202874,2968.97223282374,3068.7269539402,3014.42840106575,2939.50534259039
,23,2836.12954454427,2814.88789865573,2735.20117165642,2913.6699157731,2838.91756946627,2804.91108251398,2826.02593123505,2892.48137943499,2869.40638305874,2872.73908248273,2899.94640694491,2894.21928453413,2892.19269884422,2854.6627822595,2914.68227815124,2941.42986677315,2938.081469726,2798.42785661388,2963.58476677067,2935.5715211169,2965.3944527738,3070.37497313385,3010.16861806243,2934.94147706714
