,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,5400.41417135613,5830.44492162072,5206.74878644774,6116.75952148285,5743.58980828237,5616.46980206808,5716.34537584366,5860.22316483717,5916.76166976711,5884.67602806903,5800.58488889196,5943.28752860113,5847.68488902196,5621.94553165432,6017.25642130804,6436.64501122246,5875.75752072429,5573.13077470159,7550.7308827744,5758.30546475031,5975.78882622916,6230.09624931416,5907.44142121426,5782.39086828622
,2,5441.81034235645,5874.73659393954,5219.46721661428,6158.94531996372,5786.63674908185,5653.87626370323,5755.90209358322,5883.98564770835,5947.97555350426,5913.85551218134,5831.20152246679,5988.60009876621,5932.44762633416,5687.63978847059,6085.72745001275,6549.61091396111,5955.29369776787,5629.50895588809,7813.41847741468,5899.87358771112,6127.48096498949,6382.85810820178,6061.94792724786,5898.85935582211
,3,5438.53360078091,5875.67215521746,5222.0100025272,6167.35082457869,5791.62513994333,5670.68521988635,5778.21303231618,5897.25577837602,5973.16839653282,5935.47023393373,5844.23161236174,6002.10731072615,5969.01090271255,5739.593917785,6146.40802372406,6563.56407189977,6008.79377436687,5677.92456242156,7830.60761004768,5918.31984759625,6146.83328651043,6389.92127224934,6101.19575715501,5960.68059362603
,4,5438.36563290764,5874.73897707456,5227.78159285984,6170.92176755377,5793.72237974153,5664.36097505913,5801.02502704053,5908.18485710971,5989.31635957227,5936.20776951589,5855.66943353947,6024.59783516135,5969.4193470744,5739.61604449408,6145.05492651693,6565.03362118061,6009.30474537919,5684.70887963138,7828.04878118036,5912.90358359104,6160.88716770243,6386.0281776593,6093.17170259219,5942.2758923388
,5,5440.81153663836,5879.53105006892,5234.79763163666,6173.36054523473,5794.7921766988,5666.55930924932,5796.17278762624,5913.7376128283,5997.49874102648,5959.88885916994,5864.54932208564,6034.73949581205,5972.78140744507,5737.90699400166,6142.80803113518,6566.20156520357,6014.01646306781,5692.20637275472,7827.72199642305,5918.23540024494,6147.65955742185,6386.89598577185,6096.72463670235,5949.95712525853
,6,5438.46727873905,5875.81504812915,5235.3441643029,6175.5736149385,5794.70620578342,5669.8587082901,5799.32251357663,5912.70952743796,5992.96019751857,5963.18243362727,5864.91420523675,6033.85105171159,5965.33590800697,5737.7641223745,6144.24092649603,6562.89367512099,6013.50583200003,5688.32685385701,7841.92364392633,5920.59116129953,6154.63187888658,6383.17487673871,6096.96425521069,5947.01450776079
,7,5437.84140040589,5871.94579368603,5235.1871323989,6174.23472593894,5796.72094146504,5669.32366281879,5799.71257741395,5917.67588397902,5995.51903598508,5960.74934320067,5867.78995269183,6039.37953369092,5965.60575637689,5735.91181973815,6135.77327446042,6565.67460445079,6000.84734190946,5683.90183035386,7815.2244857614,5914.50640948093,6151.02157501479,6385.92517056623,6091.1555883273,5948.08617404959
,8,5442.37333459635,5874.3100162066,5226.24289410564,6172.5744365869,5796.63525538724,5667.04209382107,5798.99775692186,5921.02445365282,5989.05476898847,5961.47048371055,5865.03855362787,6032.08132646668,5961.62396021197,5732.34106067971,6140.19088364771,6556.31852970998,6004.85315964501,5682.37816507213,7818.32930252654,5908.46375191006,6134.79786691076,6379.27920763788,6089.08869817337,5943.4977424101
,9,5441.64230415565,5873.2523013754,5230.4203567813,6171.47196998785,5794.72916625616,5663.18385822044,5792.84379050259,5917.44172810215,5992.14629181948,5961.72466697557,5867.20956361646,6027.46071219314,5964.07910239835,5731.14240488787,6140.12330973332,6557.30731210475,6010.34901497137,5686.03491650922,7829.37147296691,5915.93103677278,6145.15217443685,6383.10366127396,6091.38151772464,5948.77092716833
,10,5436.69387168776,5878.09891179265,5235.36261145026,6181.00691838291,5798.34071113937,5670.08261570935,5799.09023128727,5928.87471313877,5999.74530563428,5964.03040328242,5871.35729055559,6030.72527154663,5970.02456131987,5739.58530083633,6144.71949279444,6565.7091342642,6010.99768801453,5689.40065700566,7826.66336955629,5910.94219480257,6152.39733031523,6381.37538650155,6095.84008497501,5940.46682150863
