,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,FAM,,Unkn,,2948.88625540612,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,2838.5425336388,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,2733.95782308453,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,2929.32557096187,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,2849.32275968769,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,2816.49491744308,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2835.14900238819,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,3081.46787117973,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,2891.79831911191,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,2884.22363553497,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,3098.359821201,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,2941.40926993949,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,2910.0080835767,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,3039.21965323962,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,3251.66415614826,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,3086.88043848488,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,3158.36406415151,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,2839.48571979983,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,2980.21648634184,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,2955.93454560067,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,3005.22628255262,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,3082.06229124325,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,3033.84686973696,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,2973.2759507075,,Unknown,Unassigned,False
