,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2447.78097064404,2513.32292841189,2418.65182570353,2557.48507179601,2486.37256756137,2472.10630542734,2487.35932845265,2523.41176851071,2507.82833089961,2509.45195447114,2505.18385846017,2523.27978597314,2490.46017546907,2459.87853868758,2520.90938674054,2590.29024046832,2487.06951353173,2453.04318317288,2495.99202444207,2469.59739285291,2500.00066629521,2560.81829975424,2501.72299873816,2476.44284786754
,2,2455.48205162112,2518.48819602555,2421.01610365752,2562.11237834676,2498.41119156447,2481.1833785841,2488.6654440718,2528.51764818269,2512.9561489165,2512.7509069209,2511.046505617,2528.21965308902,2506.13602334593,2470.36434842948,2523.34703222122,2601.20710911349,2501.26977635937,2458.01247290724,2515.05012772552,2493.95771667083,2530.54444465544,2579.91207985711,2520.58200668744,2499.14091916779
,3,2453.64471623577,2523.81716408035,2421.0407002945,2563.88508311412,2500.66665442398,2481.67723562759,2484.73413897462,2531.46779121491,2514.62671348934,2517.05028453047,2516.59461244312,2532.67466639796,2506.79546485681,2475.03482645884,2533.75161772186,2605.45424391055,2502.74298918828,2462.53443785103,2517.67018522453,2495.20247735615,2529.94584468771,2580.92201715087,2527.31483381745,2502.37343714945
,4,2451.06138007582,2518.93860442801,2422.71130219873,2562.95581733397,2497.34879681041,2479.8396979479,2493.26800589497,2526.67451355034,2520.53275061439,2519.52324946327,2517.13542360834,2538.06626815135,2508.35499541552,2478.17780489109,2535.90168834222,2604.45804630926,2503.20749568449,2464.40170083986,2514.19627331419,2491.85287483374,2529.00666282779,2578.02085552996,2526.8495404579,2503.32118706023
,5,2450.73221690261,2520.38743222627,2423.35852460978,2561.19979492186,2499.63528879964,2479.98613317483,2491.30223405625,2531.64306473242,2519.94574585809,2519.62203827297,2512.53388252669,2535.39943023303,2509.56547756872,2476.42617212464,2534.02121511957,2604.26299481422,2508.12539870698,2468.01860769984,2519.99082545928,2496.37834749993,2527.92298524594,2581.79943571657,2525.54583419282,2498.22162739586
,6,2448.86221540842,2516.8734625314,2421.58997686776,2564.89612828095,2496.41899768078,2480.58179639068,2489.31399278667,2532.67019168854,2519.93081355988,2524.11773586185,2513.90066580375,2534.218433274,2507.18984501706,2475.69669193391,2535.8372389686,2606.72147027847,2503.97076424471,2462.85452850331,2517.68914850884,2491.23874446394,2529.18031891879,2580.76159952232,2527.10011229306,2502.02909074585
,7,2453.82926815209,2518.80979800202,2426.28577588464,2565.82816376914,2497.46634092028,2481.81249298743,2494.54518387754,2533.75365011043,2519.98607206005,2520.30201456484,2516.46773316331,2534.56046828612,2507.83913461721,2477.70861835511,2534.25250151493,2603.85533597439,2510.2409685717,2464.24945311143,2517.32688238451,2489.52342559484,2526.23629449551,2577.07159032418,2525.07806772311,2503.03871539087
,8,2446.37627789323,2515.38367254551,2419.44578295276,2560.01148473797,2499.73871277235,2479.68224575469,2495.80007403733,2530.2470864036,2519.81750447648,2522.41829688599,2517.4759748918,2535.0532415257,2510.89030095636,2474.80390613931,2535.58301957078,2606.27073769857,2503.53878995486,2460.44578716983,2515.59089519941,2498.02470015995,2527.59717912592,2576.54192092301,2524.34285243442,2499.4384936593
,9,2451.41204449427,2517.11317089609,2421.70246957546,2563.58009762947,2499.17500055597,2477.09430098367,2491.6717437601,2533.4727077935,2515.72911239126,2523.6051382729,2518.93600792991,2533.56559486358,2509.35191151773,2477.91265501485,2534.27043255502,2601.98552643737,2505.00765649716,2463.11657073592,2513.64389932217,2491.59406363208,2529.44446314788,2575.9268842557,2526.30716455932,2499.36931630122
,10,2451.75837860269,2518.8110438285,2423.15203238628,2561.1901542803,2494.35438244207,2483.04995657394,2496.70138793246,2529.45658191269,2523.311508257,2521.17955360891,2519.93607573154,2532.54101600434,2509.32690066417,2475.82884407229,2539.48979477754,2608.40310969072,2506.69037249144,2465.46621139754,2516.77813647746,2491.69821587049,2526.2693911987,2577.6963630744,2523.15011025485,2502.07869851182
