,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2802.70786973424,2745.41682714062,2779.13757443919,2900.47186861758,2779.13806047346,2746.67123725753,2815.65270113006,2849.65159782069,2833.55253251425,2888.8221709847,2848.68329682144,2842.40246579143,2896.93174808999,2843.15427601486,2888.37673820328,2997.65391856279,2893.83565070133,2853.11979588082,2990.36647283201,2927.41275485346,2947.01309398766,3113.89633835224,2977.67339459751,2974.2261752049
,2,2847.65655926406,2779.98653601485,2814.71715552217,2946.77595861168,2816.85988901326,2781.97246518162,2842.61642813517,2885.94887209239,2873.47240969895,2900.39368288691,2878.77179698952,2877.45495694188,2923.97010041666,2873.62806487818,2923.20367728966,3011.22014714915,2932.17855151928,2874.220590511,3011.39974444628,2951.27779257144,2979.6834172671,3131.8318830315,3012.3529288713,2998.1191979186
,3,2875.88234011915,2801.95977125865,2829.50233477181,2958.35681750046,2832.665098073,2803.58268388134,2851.12778010817,2898.21100140554,2898.52975825535,2908.99769844381,2884.8256916889,2900.1752365018,2939.54065917232,2893.52571506105,2948.25425666572,3029.54039420842,2954.43506910182,2894.99260943931,3028.94039267866,2973.15131695505,3006.88402686382,3156.50342612264,3032.46597036269,3021.38062057446
,4,2888.81695651086,2814.08485383424,2852.10535403146,2963.1250983011,2833.54136289621,2822.69222807123,2865.96876406525,2907.03571547457,2921.72772943094,2921.51320843318,2888.33280998108,2932.00020349883,2954.42043576911,2913.24412251649,2975.30017645656,3045.27363339178,2971.12326059199,2920.08781045036,3052.08808348822,2995.06973157548,3040.6480381399,3176.42303585491,3059.28865501638,3047.28662674586
,5,2905.6134020551,2828.14590759855,2858.7133175744,2970.86127389141,2852.72063398822,2835.33815512557,2875.99550424393,2923.13139035222,2947.18368806241,2935.24929728903,2905.16862655497,2959.4268910761,2973.21133400897,2938.72882023028,3010.53854488129,3067.72462958532,2993.04237023956,2949.55334795004,3074.00835408876,3020.24330129098,3081.31195199737,3202.56043739561,3091.09450908226,3086.03022658883
,6,2918.1211862668,2834.39619933245,2877.28928325563,2971.73247830359,2862.33923976093,2851.34877483548,2887.77527817234,2937.66725008497,2978.3207930692,2948.02739557038,2919.20516251677,2984.06152488359,2999.56141018778,2967.72601440111,3060.43738422427,3090.53811909224,3021.03275837822,2985.49868532278,3088.39921406841,3046.33572421619,3116.05260453685,3217.86558056953,3119.92353981475,3118.29880632046
,7,2928.33044671136,2842.61270822021,2878.81728995021,2978.771547829,2867.53977260806,2863.68574644165,2898.44990544786,2955.69536734203,3008.96770943823,2956.22701632132,2933.93794836523,3013.21493120065,3017.94230899076,2993.61593634292,3099.89283126055,3114.74225645942,3055.16279035364,3023.6247209006,3107.56997282547,3070.82077857624,3160.39969424898,3242.78696574155,3141.0838233317,3154.98618586175
,8,2939.00890943473,2840.65672779352,2881.05893612614,2975.21669003986,2864.54277528161,2866.84356769968,2906.13308990911,2968.24656272564,3024.36169036614,2970.92101017411,2941.99790790926,3032.22443241707,3042.59769193979,3030.12413399597,3148.83781763781,3137.17587549606,3087.64555328698,3070.8849350895,3133.53403615683,3108.97006748993,3210.11945076567,3265.81519276853,3176.20819774692,3202.84268989345
,9,2938.39148002449,2843.80902205106,2872.58051359643,2979.98369572028,2869.64464286839,2861.66916811097,2912.51939299673,2973.29183188026,3031.11518396666,2971.9984789329,2949.18180545495,3042.81285705464,3064.74562462808,3058.82893774235,3195.65363961458,3159.21743063085,3118.69380763326,3106.40975097474,3156.19758411393,3135.14629227673,3262.56584028214,3288.12539480528,3210.31522004355,3248.1785363383
,10,2933.5423339584,2841.03150088862,2858.90551896786,2979.73623370431,2863.85677342383,2855.66785425272,2914.035331302,2967.44510242831,3021.57931101858,2975.79092250191,2946.64649557239,3034.83655648369,3088.66518023558,3073.82579266133,3229.65056525263,3177.30245700759,3145.66645377885,3136.15836522154,3181.41753275355,3169.10596528005,3311.53753772207,3311.97547057457,3243.77283900431,3296.65819607866
