,Well,Sample,Call,Type,RFU1,RFU2
,C03,,Heterozygote,Auto,2844.23726250858,2477.37461600655
,C04,,Heterozygote,Auto,2816.25629747042,2520.13027601209
,C05,,Heterozygote,Auto,2750.83958055625,2443.51223905954
,C07,,Heterozygote,Auto,2942.30592562823,2578.05230313762
,C08,,Heterozygote,Auto,2840.92719042937,2496.52409316026
,C09,,Heterozygote,Auto,2812.5515812934,2482.55170321594
,D03,,Heterozygote,Auto,2922.67052525394,2486.4571755036
,D04,,Heterozygote,Auto,3005.26063522573,2481.27895350546
,D05,,Heterozygote,Auto,2911.89300885818,2452.82627627651
,D07,,Heterozygote,Auto,2957.43350952349,2526.09034676176
,D08,,Heterozygote,Auto,3004.22695518346,2447.50419446687
,D09,,Heterozygote,Auto,2940.3267231932,2461.41553689406
,E03,,Heterozygote,Auto,3034.98444742338,2478.2156376215
,E04,,Heterozygote,Auto,2995.69858505962,2409.7589831346
,E05,,Heterozygote,Auto,2934.52058114281,2510.20967780736
,E07,,Heterozygote,Auto,3055.92576404881,2578.32446279853
,E08,,Heterozygote,Auto,3067.33439130565,2436.22741389723
,E09,,Heterozygote,Auto,2820.11667599122,2440.50538539122
,F03,,Heterozygote,Auto,3066.39557442827,2492.28164012464
,F04,,Heterozygote,Auto,3014.15275141075,2475.35478788819
,F05,,Heterozygote,Auto,3160.2327034824,2511.24790106579
,F07,,Heterozygote,Auto,3174.21328833515,2550.36366845604
,F08,,Heterozygote,Auto,3068.52344496445,2497.42076439336
,F09,,Heterozygote,Auto,3157.96332478194,2500.11278562289
