,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,5581.2571179951,5511.00673541341,5650.15489614885,6144.30846023007,5492.71692865887,5427.16888328317,5761.67461861878,5773.54666828749,5833.94820720267,5990.3875265032,5702.20565627588,5786.04349146352,5899.28612813141,5589.69796478267,5945.54342362468,6379.33808745648,5746.20969720585,5676.4333494998,7331.18126774119,5759.64992442588,5955.08292566196,6376.50579674379,5858.57633366695,6078.99889523778
,2,5777.68769595302,5770.04534208892,5827.90955168275,6375.96256943577,5728.42188960703,5638.14165102243,5925.24409501826,5989.83514653464,6027.9821534936,6126.01556641789,5866.3931812351,5986.80792094613,6054.42540113184,5753.09795842476,6108.95587703959,6525.41296932347,5944.0940233586,5805.91822818323,7627.94596580919,5914.04107092742,6130.17137564058,6511.12640915374,6028.45514165394,6191.28183248014
,3,5856.43736478742,5864.53430518388,5886.73975416707,6439.56188234748,5812.56292636415,5710.52975048194,5967.9068769977,6017.10557440959,6087.96093886455,6152.2543316626,5867.4755361574,6037.61822453679,6101.28559695893,5809.95987384534,6156.93628093226,6568.23171351773,6003.58455717474,5843.12039497697,7800.76715788273,5973.27162164321,6195.27476316742,6563.18712126646,6096.3764458109,6227.74829404256
,4,5897.56311379355,5904.78041222646,5905.15284195041,6463.99859163173,5853.31073830493,5741.34988847324,5979.04453207418,5994.17810051284,6114.71313261567,6170.00067410061,5839.9188357385,6058.90085099589,6119.52438978575,5837.45368231501,6180.33237379174,6602.37966114966,6029.74890387258,5863.07577842583,7946.49317891349,6022.57336674183,6240.20958537718,6611.14280861834,6143.21207445885,6271.61214601275
,5,5903.71922179461,5924.6741728114,5901.26372000121,6473.85039134938,5871.57147091766,5758.27254978622,6002.33484957418,5992.75773985209,6124.84633238202,6185.04867841616,5803.56602855984,6076.31382433328,6144.61533656081,5856.48494493309,6205.0406279283,6636.62723323462,6054.33292950335,5875.48351520021,8002.37168097518,6055.64797166019,6284.05526757976,6627.27659583295,6192.7868116642,6291.40444455333
,6,5928.3657034593,5947.31556465417,5887.05623492551,6477.11344188963,5887.86878550566,5773.53932570132,6006.67499768468,5985.29162388161,6143.14367316295,6193.8013232165,5797.31838468604,6091.76530485081,6171.87839810715,5867.67861917732,6221.10357258278,6665.07990118003,6072.91158339542,5892.63841222727,8003.09455286735,6052.83825464341,6332.66323417112,6621.17043505263,6209.88102326741,6284.88495738765
,7,5938.34652422854,5957.31644176447,5879.65457594935,6479.09551723426,5903.48229513274,5788.50675269397,6009.42458867001,5977.35478839041,6149.18615948571,6197.67568314323,5781.69126660205,6089.18205321895,6177.52596181355,5881.63236958728,6235.33763354814,6676.57266002137,6081.44983780892,5897.74860227684,7970.14689349883,6041.74043935129,6321.80911652453,6609.69661868691,6201.36918109151,6277.02509444166
,8,5943.33281820134,5976.87277733713,5866.60221215509,6481.50754091535,5913.69555854336,5794.04662384104,6016.24811220752,5970.05589262491,6154.85650257786,6199.30970785541,5764.56177673601,6099.5254576456,6199.1308081022,5903.59444100647,6250.19057112068,6676.64659524714,6094.07194306149,5915.87824064462,7950.42335698723,6038.2576016448,6317.6467004928,6607.2901756044,6204.91360752902,6272.34262098962
,9,5933.56964766017,5988.98365156443,5854.75362016969,6486.00773713043,5914.62565815933,5797.16524912833,6013.99472566459,5957.76259083228,6155.12369121933,6201.19080755291,5765.42728820569,6102.40280823904,6206.13999576292,5908.79192241088,6259.1458076825,6661.05288399876,6106.44823222665,5921.73245806166,7929.32491660763,6031.74728456437,6309.85338559299,6601.58042281064,6192.961953941,6255.49179784553
,10,5918.58416410278,5990.76938125504,5842.03095964991,6484.27909393928,5924.51549004428,5804.8736306901,6017.9867573037,5943.00181246901,6151.02884609264,6197.95390668171,5760.83190214805,6103.76610484196,6209.80747448298,5907.85115686058,6269.21695692933,6658.65045776901,6112.94219289373,5916.15590802997,7914.12577531245,6026.81847598355,6308.18329207725,6585.84399314683,6180.58262165269,6257.56234510108
,11,5916.92227490991,6000.08623385625,5821.1692702914,6484.430286569,5925.99565163574,5808.88953613654,6016.01973878512,5938.77491422795,6144.8095120786,6198.47120921448,5751.90009771015,6104.48775408099,6193.04000789855,5898.05190707883,6261.09753225178,6653.57142263275,6096.25336485873,5907.41952994254,7898.92470120363,6019.32216799193,6297.09406368392,6578.89797346828,6172.8755797226,6238.16965576479
,12,5900.65966007981,5999.81983100853,5824.87544032081,6490.55508960522,5936.86945646087,5815.8521868912,6015.11072147396,5931.09615361314,6152.38498661589,6199.46880511483,5751.41725574792,6104.61860543512,6187.37977777072,5896.62195047161,6264.00402260408,6648.73532696749,6095.35851559023,5904.81539762373,7903.96145935659,6019.69752021047,6298.44143401656,6569.84783571189,6174.24741042735,6230.3605728705
