,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2475.01915559905,2463.36520361428,2481.64483584194,2562.7029672154,2448.71416846927,2433.4629417726,2476.1494076011,2484.80200091824,2481.63804740547,2510.07133206679,2464.37611378362,2481.86496463622,2477.79209204604,2434.98700764032,2474.98394657543,2545.86162076045,2449.75962400697,2439.45743955819,2485.76519500632,2441.27686799922,2473.84932406855,2553.05366714759,2462.55372734525,2491.83417412386
,2,2495.28997266995,2489.47096661237,2494.00862346236,2583.37469315441,2472.96542140141,2456.114605602,2485.33277881902,2504.42705130155,2499.74248117867,2525.57694467542,2476.33946942091,2492.2405879255,2489.65169947594,2449.20156892238,2487.29052972433,2554.61969935707,2463.6672221857,2439.65472090984,2489.92465996945,2458.27506987325,2480.30575745991,2558.16345956943,2472.98930118214,2492.90844369233
,3,2497.8609016447,2490.78242102497,2497.73444934954,2591.72657028402,2475.70520904879,2459.28789910752,2487.52525534052,2501.26455569134,2493.89351253437,2525.4495323435,2469.21969488328,2489.25695260585,2481.39832552503,2443.84778634942,2480.25740440361,2551.60384740288,2460.01603614204,2434.5052734955,2487.33703146662,2443.6948154216,2472.73193796048,2557.02889221243,2470.02216551597,2481.42180761372
,4,2496.30540762286,2497.52171349169,2494.56007389663,2590.06371236828,2477.36566517952,2458.55920301087,2479.71414787073,2494.22741269147,2486.5634188708,2517.58166948326,2461.2265308064,2478.540507066,2471.4039008556,2432.25859012498,2462.52419301919,2540.69815134402,2448.89482999046,2423.28682073392,2484.5783686202,2437.70015582107,2462.50123118468,2547.36560106446,2462.29642977838,2470.63497379854
,5,2499.88466688287,2498.16151073186,2493.39463193443,2585.85785314417,2480.54795568829,2463.99105813677,2476.44232311223,2489.3168703308,2482.48906749218,2513.36371419743,2453.64152544616,2478.60721736114,2465.55288157249,2424.19489751457,2452.81374375963,2536.16561687733,2439.04972586635,2409.61604401514,2467.19227053423,2430.65475553054,2447.39331461383,2534.23715761267,2451.74702821687,2456.50602315989
,6,2502.85052038551,2502.69703382864,2498.51949318405,2587.23347804456,2482.66645767514,2465.16231144892,2478.83402561891,2483.91026359304,2486.53457190937,2508.76369200432,2450.607049212,2486.9151635726,2459.84251996969,2418.10784762662,2452.0499321513,2532.60132237519,2434.69163306739,2404.62080700038,2456.75633550242,2415.39675437717,2437.84089734104,2522.97094922159,2441.27353222372,2438.44488764173
,7,2508.5999076535,2507.87034436602,2506.49517959686,2589.31274132141,2485.00236503638,2471.12698973936,2477.15789364347,2487.85001955942,2496.85593625625,2510.24946641451,2451.95207625292,2487.88389089083,2454.96216903089,2414.8386525284,2449.3335949469,2527.59004372069,2433.93046898119,2403.72515270641,2441.81937090949,2401.97614234431,2431.29094255367,2506.15946682818,2423.98460402679,2425.90735584448
,8,2511.6885583087,2513.41865140182,2505.89604549771,2595.0602615858,2495.02283989534,2483.2027585075,2486.73294554769,2490.03165592102,2502.47894617248,2517.11648334925,2458.89373322659,2502.72814639535,2457.20994027718,2418.83504838689,2455.54486836695,2523.45859052777,2433.47982366428,2411.71878135828,2435.72656441344,2396.83303004232,2423.63027754137,2497.55824535473,2419.47011149081,2420.46138516349
,9,2517.57140544855,2519.44761649834,2513.75923709708,2595.48539615345,2497.26159610604,2485.43371474853,2487.62796541133,2495.33541971033,2512.78936731151,2517.98251714183,2467.12317000504,2505.4613510495,2461.85289456198,2424.37181184663,2466.39483468686,2529.39482010662,2443.98304091921,2417.34918779472,2431.2601150839,2394.4137423587,2417.65130195539,2493.25511436847,2415.45740005774,2419.61773702473
,10,2519.11708512875,2521.74708416969,2511.09927940754,2596.47813859101,2502.08712095699,2488.82459552328,2498.61285329961,2504.56411260225,2522.53572532725,2526.34031901161,2471.19540547061,2518.37709101313,2468.68889463535,2432.73889041644,2476.65783522113,2534.51488468902,2449.05793558932,2428.72026953193,2428.61219617942,2393.31706329588,2422.09454282709,2492.51526399918,2414.8090112553,2419.9037473559
