,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,FAM,,Unkn,,2842.31964318333,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,2819.79377435069,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,2748.78791388815,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,2941.45183639815,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,2840.4275055145,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,2809.74797030926,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2929.87238371577,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,2972.92917629202,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,2894.89185526382,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,2977.85906148661,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,2968.65290356911,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,2918.64778543691,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,3033.68873087939,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,2958.6123432794,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,2930.63196969008,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,3076.0553189235,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,3027.80996694051,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,2815.14522522898,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,3074.91500728943,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,3029.22560225132,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,3198.09945500275,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,3180.60311796036,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,3082.75977045224,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,3192.49099545447,,Unknown,Unassigned,False
