,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C03,HEX,,Unkn,,2483.87760060492,,Unknown,Unassigned,False
,C04,HEX,,Unkn,,2522.64682283499,,Unknown,Unassigned,False
,C05,HEX,,Unkn,,2450.73543058016,,Unknown,Unassigned,False
,C07,HEX,,Unkn,,2580.24399076647,,Unknown,Unassigned,False
,C08,HEX,,Unkn,,2499.76215486162,,Unknown,Unassigned,False
,C09,HEX,,Unkn,,2482.69616147755,,Unknown,Unassigned,False
,D03,HEX,,Unkn,,2472.17286165672,,Unknown,Unassigned,False
,D04,HEX,,Unkn,,2456.09967478003,,Unknown,Unassigned,False
,D05,HEX,,Unkn,,2481.76968275602,,Unknown,Unassigned,False
,D07,HEX,,Unkn,,2514.56343318348,,Unknown,Unassigned,False
,D08,HEX,,Unkn,,2431.66648178904,,Unknown,Unassigned,False
,D09,HEX,,Unkn,,2488.53988410013,,Unknown,Unassigned,False
,E03,HEX,,Unkn,,2475.14528401457,,Unknown,Unassigned,False
,E04,HEX,,Unkn,,2411.85610825727,,Unknown,Unassigned,False
,E05,HEX,,Unkn,,2521.35002540691,,Unknown,Unassigned,False
,E07,HEX,,Unkn,,2570.14977765854,,Unknown,Unassigned,False
,E08,HEX,,Unkn,,2433.97634042893,,Unknown,Unassigned,False
,E09,HEX,,Unkn,,2453.92920845569,,Unknown,Unassigned,False
,F03,HEX,,Unkn,,2491.95607599476,,Unknown,Unassigned,False
,F04,HEX,,Unkn,,2472.24742585743,,Unknown,Unassigned,False
,F05,HEX,,Unkn,,2508.56063239385,,Unknown,Unassigned,False
,F07,HEX,,Unkn,,2552.85288106674,,Unknown,Unassigned,False
,F08,HEX,,Unkn,,2497.89453407012,,Unknown,Unassigned,False
,F09,HEX,,Unkn,,2496.8848791541,,Unknown,Unassigned,False
